Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MED,-28.4627,34.8884,-0.7974,-0.3897,-66.7607
2005-01-01_2007-01-01,MED,-25.0422,41.7519,-0.5158,-0.3129,-69.586
2006-01-01_2008-01-01,MED,27.5842,34.4653,0.7105,0.8826,-23.5037
2007-01-01_2009-01-01,MED,-10.8061,39.8843,-0.1607,-0.1326,-49.6713
2008-01-01_2010-01-01,MED,-31.3498,50.7906,-0.4983,-0.3478,-71.6679
2009-01-01_2011-01-01,MED,32.7309,48.4745,0.7018,0.7751,-61.7399
2010-01-01_2012-01-01,MED,2.5837,30.165,0.1105,0.1501,-28.9415
2011-01-01_2013-01-01,MED,-9.8197,23.0083,-0.4485,-0.3726,-32.6289
2012-01-01_2014-01-01,MED,-7.7331,15.334,-0.6242,-0.5178,-24.3682
2013-01-01_2015-01-01,MED,-14.9728,17.8928,-0.9364,-0.8441,-41.0451
2014-01-01_2016-01-01,MED,-7.0448,15.4017,-0.5767,-0.496,-31.8787
2015-01-01_2017-01-01,MED,-2.999,11.3705,-0.4768,-0.377,-15.6901
2016-01-01_2018-01-01,MED,-2.8731,5.5486,-1.0364,-0.3624,-8.8159
2017-01-01_2019-01-01,MED,-2.2072,29.5908,-0.0342,-0.0104,-37.1716
2018-01-01_2020-01-01,MED,-2.1643,26.7895,-0.0782,-0.0667,-43.5196
2019-01-01_2021-01-01,MED,-20.8726,26.4605,-0.8173,-0.6488,-55.5039
2020-01-01_2022-01-01,MED,4.7626,28.2358,0.1723,0.1679,-47.9219
2021-01-01_2023-01-01,MED,11.4531,25.2488,0.3883,0.5487,-19.8215
2022-01-01_2024-01-01,MED,17.5812,23.1907,0.6172,0.8748,-21.3856
Average,MED,-3.6659,27.8154,-0.2263,-0.0779,-39.5591
2004-01-01_2006-01-01,TAIT,-5.7636,38.4061,-0.0478,-0.0367,-28.3522
2005-01-01_2007-01-01,TAIT,-8.0176,31.7022,-0.1972,-0.1301,-26.1022
2006-01-01_2008-01-01,TAIT,4.5017,30.4887,0.1697,0.144,-30.9038
2007-01-01_2009-01-01,TAIT,7.2548,60.2691,0.323,0.3251,-28.0889
2008-01-01_2010-01-01,TAIT,-14.7331,56.4034,-0.0664,-0.0436,-55.7282
2009-01-01_2011-01-01,TAIT,-13.9858,28.3782,-0.4704,-0.2403,-48.6629
2010-01-01_2012-01-01,TAIT,15.3223,27.6251,0.4919,0.3711,-17.2291
2011-01-01_2013-01-01,TAIT,3.0944,28.1292,0.1188,0.0891,-29.1023
2012-01-01_2014-01-01,TAIT,-7.8181,22.465,-0.3739,-0.21,-18.771
2013-01-01_2015-01-01,TAIT,-13.3616,41.1334,-0.2062,-0.1158,-44.7724
2014-01-01_2016-01-01,TAIT,-14.5578,39.223,-0.2676,-0.1476,-35.8908
2015-01-01_2017-01-01,TAIT,-14.0647,19.8288,-0.777,-0.4573,-33.5488
2016-01-01_2018-01-01,TAIT,3.2621,23.9624,0.1019,0.1416,-20.1832
2017-01-01_2019-01-01,TAIT,1.3493,19.8655,-0.0056,0.0126,-20.8512
2018-01-01_2020-01-01,TAIT,4.1883,38.5119,0.1941,0.2163,-38.7676
2019-01-01_2021-01-01,TAIT,-4.0937,35.3743,-0.0354,-0.0229,-30.5224
2020-01-01_2022-01-01,TAIT,-7.2265,21.7389,-0.3659,-0.3075,-32.7803
2021-01-01_2023-01-01,TAIT,-11.1246,21.1277,-0.5698,-0.4801,-35.5032
2022-01-01_2024-01-01,TAIT,-15.5756,16.762,-1.0487,-0.8404,-39.7028
Average,TAIT,-4.8079,31.6524,-0.1596,-0.0912,-32.3928
2004-01-01_2006-01-01,WF,-3.1225,12.9179,-0.4151,-0.2511,-17.3019
2005-01-01_2007-01-01,WF,-6.2469,10.4298,-0.8315,-0.5294,-21.0127
2006-01-01_2008-01-01,WF,2.1131,19.2566,0.025,0.0393,-22.45
2007-01-01_2009-01-01,WF,25.8255,31.0468,0.7284,0.8795,-20.5712
2008-01-01_2010-01-01,WF,5.5712,41.6348,0.2412,0.2007,-51.1459
2009-01-01_2011-01-01,WF,-13.3882,24.9499,-0.5471,-0.4766,-40.798
2010-01-01_2012-01-01,WF,-11.718,26.8635,-0.4251,-0.5005,-47.6339
2011-01-01_2013-01-01,WF,-14.728,25.5378,-0.5858,-0.6841,-36.9681
2012-01-01_2014-01-01,WF,-9.2563,18.7679,-0.5633,-0.5348,-37.7592
2013-01-01_2015-01-01,WF,3.2418,17.041,0.064,0.119,-16.89
2014-01-01_2016-01-01,WF,13.383,18.1825,0.549,0.7906,-14.2397
2015-01-01_2017-01-01,WF,-3.6222,12.474,-0.4727,-0.4339,-23.3387
2016-01-01_2018-01-01,WF,-4.7148,9.2484,-0.7867,-0.5399,-17.6927
2017-01-01_2019-01-01,WF,-0.9395,13.6927,-0.2335,-0.2205,-17.1766
2018-01-01_2020-01-01,WF,2.152,21.7276,0.0446,0.0826,-16.7628
2019-01-01_2021-01-01,WF,-2.3723,18.5919,-0.2054,-0.2014,-30.7309
2020-01-01_2022-01-01,WF,-15.2597,16.6458,-1.0374,-0.8766,-37.2598
2021-01-01_2023-01-01,WF,0.9781,14.4363,-0.0913,-0.0614,-23.8777
2022-01-01_2024-01-01,WF,5.2748,12.758,0.1833,0.2273,-14.4119
Average,WF,-1.4121,19.2739,-0.2294,-0.1564,-26.738
2004-01-01_2006-01-01,JPM,-1.0842,8.6997,-0.4424,-0.4236,-10.1382
2005-01-01_2007-01-01,JPM,-8.6616,8.0236,-1.4076,-0.7913,-21.2917
2006-01-01_2008-01-01,JPM,-11.2466,14.2288,-0.9359,-0.6409,-30.5953
2007-01-01_2009-01-01,JPM,-10.9957,35.669,-0.2261,-0.2025,-47.6377
2008-01-01_2010-01-01,JPM,0.9719,36.1137,0.1047,0.1019,-39.5193
2009-01-01_2011-01-01,JPM,-15.1984,16.0674,-1.0758,-0.8944,-34.8296
2010-01-01_2012-01-01,JPM,0.1783,20.1542,-0.0563,-0.0382,-25.4925
2011-01-01_2013-01-01,JPM,6.0971,18.446,0.2109,0.2236,-18.3131
2012-01-01_2014-01-01,JPM,-3.4341,11.0803,-0.5291,-0.3613,-21.5321
2013-01-01_2015-01-01,JPM,-7.3903,7.406,-1.3584,-1.0079,-17.58
2014-01-01_2016-01-01,JPM,-12.6605,9.8702,-1.5499,-1.1617,-30.6949
2015-01-01_2017-01-01,JPM,-5.9294,11.784,-0.6973,-0.4338,-15.2287
2016-01-01_2018-01-01,JPM,-4.7995,5.9448,-1.2768,-0.6815,-12.0887
2017-01-01_2019-01-01,JPM,0.681,10.6378,-0.1911,-0.1503,-16.5455
2018-01-01_2020-01-01,JPM,-7.6747,10.2132,-0.9906,-0.7396,-23.3568
2019-01-01_2021-01-01,JPM,-10.3041,19.8622,-0.5774,-0.4329,-34.81
2020-01-01_2022-01-01,JPM,-14.1945,11.6342,-1.4404,-0.7984,-35.5219
2021-01-01_2023-01-01,JPM,-1.133,15.4226,-0.2037,-0.1733,-23.7917
2022-01-01_2024-01-01,JPM,-14.2988,12.2556,-1.3706,-0.7773,-32.1549
Average,JPM,-6.3725,14.9217,-0.7376,-0.4939,-25.8486
2004-01-01_2006-01-01,CDP,-4.3052,9.0323,-0.7634,-0.5341,-18.698
2005-01-01_2007-01-01,CDP,17.2184,12.9135,0.9552,1.1483,-13.9146
2006-01-01_2008-01-01,CDP,10.4759,12.8727,0.5307,0.65,-10.5233
2007-01-01_2009-01-01,CDP,-2.6204,38.6359,0.0291,0.0376,-26.4657
2008-01-01_2010-01-01,CDP,-13.817,46.752,-0.1484,-0.1333,-38.795
2009-01-01_2011-01-01,CDP,-14.7993,15.2187,-1.1154,-0.9063,-38.2926
2010-01-01_2012-01-01,CDP,2.7316,18.8636,0.051,0.0829,-19.1024
2011-01-01_2013-01-01,CDP,-0.6174,16.9254,-0.1439,-0.1255,-30.1934
2012-01-01_2014-01-01,CDP,-14.312,11.8787,-1.4198,-1.1388,-32.3374
2013-01-01_2015-01-01,CDP,-7.9029,10.5937,-0.9732,-0.7105,-25.7241
2014-01-01_2016-01-01,CDP,4.8383,8.1075,0.1857,0.2377,-11.2623
2015-01-01_2017-01-01,CDP,-2.4386,9.487,-0.5335,-0.3388,-10.8176
2016-01-01_2018-01-01,CDP,-1.13,8.3603,-0.4687,-0.3074,-19.6858
2017-01-01_2019-01-01,CDP,11.5529,10.0592,0.7387,0.9464,-10.8884
2018-01-01_2020-01-01,CDP,4.7259,11.9668,0.1475,0.1887,-19.9862
2019-01-01_2021-01-01,CDP,-21.364,25.3678,-0.8886,-0.7318,-57.1373
2020-01-01_2022-01-01,CDP,-25.9061,17.3208,-1.708,-1.1284,-52.8978
2021-01-01_2023-01-01,CDP,-12.9106,15.2131,-0.9824,-1.03,-34.0984
2022-01-01_2024-01-01,CDP,-3.4886,16.3074,-0.3222,-0.3255,-14.3994
Average,CDP,-3.8984,16.6251,-0.3595,-0.2168,-25.5379
2004-01-01_2006-01-01,CW,-7.3456,13.591,-0.6901,-0.3816,-25.6503
2005-01-01_2007-01-01,CW,-2.479,11.2889,-0.4364,-0.3596,-12.9876
2006-01-01_2008-01-01,CW,-5.6507,10.6316,-0.7585,-0.5231,-25.7307
