Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,JOUT,-0.2374,8.5782,-0.3349,-0.2708,-13.8923
2005-01-01_2007-01-01,JOUT,0.2034,9.5246,-0.2472,-0.2106,-9.8956
2006-01-01_2008-01-01,JOUT,1.3404,13.3747,-0.0614,-0.0528,-11.2996
2007-01-01_2009-01-01,JOUT,44.7953,27.2069,1.3642,1.2111,-11.9206
2008-01-01_2010-01-01,JOUT,33.356,45.6008,0.7795,0.6866,-38.793
2009-01-01_2011-01-01,JOUT,-4.2143,43.2707,0.044,0.0392,-42.4481
2010-01-01_2012-01-01,JOUT,-9.6377,31.2697,-0.2624,-0.2467,-43.08
2011-01-01_2013-01-01,JOUT,-16.7944,29.0242,-0.5853,-0.5559,-45.8221
2012-01-01_2014-01-01,JOUT,-16.4837,20.0089,-0.9385,-0.7762,-50.7546
2013-01-01_2015-01-01,JOUT,8.0602,17.6022,0.3499,0.3196,-23.3812
2014-01-01_2016-01-01,JOUT,11.5723,23.8285,0.4443,0.4424,-29.3183
2015-01-01_2017-01-01,JOUT,-23.4964,24.0502,-1.1032,-1.0063,-63.2883
2016-01-01_2018-01-01,JOUT,-23.6124,23.6014,-1.1347,-0.8378,-60.7058
2017-01-01_2019-01-01,JOUT,-3.7999,30.2313,-0.0716,-0.0454,-35.5806
2018-01-01_2020-01-01,JOUT,3.4601,26.0978,0.1478,0.0956,-28.2003
2019-01-01_2021-01-01,JOUT,-10.7277,21.3271,-0.5587,-0.4213,-44.9239
2020-01-01_2022-01-01,JOUT,-11.5835,23.2479,-0.5348,-0.4276,-56.2466
2021-01-01_2023-01-01,JOUT,13.0555,21.4609,0.5287,0.5824,-24.8265
2022-01-01_2024-01-01,JOUT,3.9605,21.2877,0.1432,0.1474,-19.4331
Average,JOUT,-0.0413,24.2418,-0.1069,-0.0699,-34.4111
2004-01-01_2006-01-01,CDP,-6.4021,12.0507,-0.7311,-0.6587,-27.8948
2005-01-01_2007-01-01,CDP,-11.2771,10.3867,-1.3734,-1.1571,-30.3664
2006-01-01_2008-01-01,CDP,2.317,14.7215,0.022,0.0257,-21.8433
2007-01-01_2009-01-01,CDP,-17.1218,35.4173,-0.4283,-0.3155,-59.2318
2008-01-01_2010-01-01,CDP,-36.9383,41.5238,-0.9557,-0.7224,-75.1467
