Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
Average,UTX,19.381,6.324,19.832,0.257,0.412,-23.665
2010-01-01_2012-01-01,JPM,9.845,3.318,10.462,0.081,0.123,-11.683
Average,JPM,9.845,3.318,10.462,0.081,0.123,-11.683
2014-01-01_2016-01-01,FFIV,9.880,3.315,5.387,0.083,0.126,-5.463
Average,FFIV,9.880,3.315,5.387,0.083,0.126,-5.463
2010-01-01_2012-01-01,DE,5.345,1.826,7.077,-0.127,-0.196,-6.370
Average,DE,5.345,1.826,7.077,-0.127,-0.196,-6.370
2012-01-01_2014-01-01,COG,1.672,0.576,12.778,-0.122,-0.167,-23.501
Average,COG,1.672,0.576,12.778,-0.122,-0.167,-23.501
2014-01-01_2016-01-01,COF,6.819,2.310,9.528,-0.023,-0.031,-10.353
2017-01-01_2019-01-01,COF,13.624,4.527,5.964,0.276,0.494,-6.728
Average,COF,10.222,3.418,7.746,0.126,0.232,-8.540
2004-01-01_2006-01-01,PTC,-2.168,-0.756,2.824,-1.302,-1.649,-4.712
Average,PTC,-2.168,-0.756,2.824,-1.302,-1.649,-4.712
2006-01-01_2008-01-01,IPG,-7.232,-2.568,11.942,-0.406,-0.517,-24.806
Average,IPG,-7.232,-2.568,11.942,-0.406,-0.517,-24.806
2018-01-01_2020-01-01,LMT,-2.194,-0.765,8.557,-0.393,-0.498,-21.029
Average,LMT,-2.194,-0.765,8.557,-0.393,-0.498,-21.029
2019-01-01_2021-01-01,CXO,-20.452,-7.605,42.280,-0.045,-0.062,-65.051
Average,CXO,-20.452,-7.605,42.280,-0.045,-0.062,-65.051
2007-01-01_2009-01-01,RTN,2.191,0.753,16.448,-0.053,-0.077,-17.240
Average,RTN,2.191,0.753,16.448,-0.053,-0.077,-17.240
2016-01-01_2018-01-01,MNST,8.410,2.847,5.913,0.004,0.006,-4.844
Average,MNST,8.410,2.847,5.913,0.004,0.006,-4.844
2016-01-01_2018-01-01,VZ,1.591,0.550,1.454,-1.651,-2.519,-1.197
Average,VZ,1.591,0.550,1.454,-1.651,-2.519,-1.197
2007-01-01_2009-01-01,CPB,16.287,5.362,15.019,0.225,0.342,-11.284
Average,CPB,16.287,5.362,15.019,0.225,0.342,-11.284
2020-01-01_2022-01-01,MTB,31.266,9.861,11.560,0.615,0.901,-9.672
Average,MTB,31.266,9.861,11.560,0.615,0.901,-9.672
2020-01-01_2022-01-01,NWS,2.351,0.807,6.225,-0.315,-0.423,-9.941
Average,NWS,2.351,0.807,6.225,-0.315,-0.423,-9.941
2014-01-01_2016-01-01,FSLR,-16.481,-6.044,12.319,-0.684,-0.886,-27.996
Average,FSLR,-16.481,-6.044,12.319,-0.684,-0.886,-27.996
2018-01-01_2020-01-01,NKE,13.178,4.378,4.438,0.321,0.715,-2.002
Average,NKE,13.178,4.378,4.438,0.321,0.715,-2.002
2019-01-01_2021-01-01,SLB,119.805,31.291,23.620,1.144,1.870,-21.555
Average,SLB,119.805,31.291,23.620,1.144,1.870,-21.555
2004-01-01_2006-01-01,XOM,5.946,2.019,6.714,-0.109,-0.138,-7.495
Average,XOM,5.946,2.019,6.714,-0.109,-0.138,-7.495
2020-01-01_2022-01-01,ROST,54.851,16.319,18.208,0.757,1.307,-14.552
Average,ROST,54.851,16.319,18.208,0.757,1.307,-14.552
2022-01-01_2024-01-01,LUMN,-38.703,-15.644,13.935,-1.358,-1.419,-46.773
Average,LUMN,-38.703,-15.644,13.935,-1.358,-1.419,-46.773
2019-01-01_2021-01-01,TJX,24.848,7.973,9.664,0.537,0.727,-12.142
Average,TJX,24.848,7.973,9.664,0.537,0.727,-12.142
2009-01-01_2011-01-01,EKDKQ,-11.149,-4.009,48.445,0.093,0.134,-51.732
Average,EKDKQ,-11.149,-4.009,48.445,0.093,0.134,-51.732
2020-01-01_2022-01-01,CFG,60.937,17.879,26.815,0.634,1.070,-17.913
Average,CFG,60.937,17.879,26.815,0.634,1.070,-17.913
2012-01-01_2014-01-01,FISV,11.540,3.853,5.988,0.167,0.234,-7.134
2017-01-01_2019-01-01,FISV,-0.017,-0.006,1.145,-2.586,0.000,-1.373
Average,FISV,5.761,1.923,3.566,-1.209,0.117,-4.253
2010-01-01_2012-01-01,BXP,14.190,4.720,10.856,0.207,0.282,-8.821
Average,BXP,14.190,4.720,10.856,0.207,0.282,-8.821
2017-01-01_2019-01-01,EXPE,22.594,7.317,9.187,0.492,0.753,-7.042
Average,EXPE,22.594,7.317,9.187,0.492,0.753,-7.042
2022-01-01_2024-01-01,EOG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EOG,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,ACS,36.568,11.441,18.324,0.514,1.383,-12.039
Average,ACS,36.568,11.441,18.324,0.514,1.383,-12.039
2016-01-01_2018-01-01,JEC,14.065,4.680,8.231,0.237,0.373,-6.527
Average,JEC,14.065,4.680,8.231,0.237,0.373,-6.527
2017-01-01_2019-01-01,SYK,3.854,1.320,2.320,-0.699,-1.112,-3.732
Average,SYK,3.854,1.320,2.320,-0.699,-1.112,-3.732
2022-01-01_2024-01-01,DXCM,0.566,0.196,22.407,-0.012,-0.016,-29.204
Average,DXCM,0.566,0.196,22.407,-0.012,-0.016,-29.204
2018-01-01_2020-01-01,BIIB,24.147,7.775,21.875,0.309,0.536,-20.322
Average,BIIB,24.147,7.775,21.875,0.309,0.536,-20.322
2006-01-01_2008-01-01,RDC,-2.157,-0.753,16.443,-0.144,-0.193,-28.149
Average,RDC,-2.157,-0.753,16.443,-0.144,-0.193,-28.149
2018-01-01_2020-01-01,HAL,-14.662,-5.341,22.194,-0.270,-0.383,-43.990
Average,HAL,-14.662,-5.341,22.194,-0.270,-0.383,-43.990
2022-01-01_2024-01-01,HSY,15.322,5.080,10.034,0.249,0.337,-13.568
Average,HSY,15.322,5.080,10.034,0.249,0.337,-13.568
2004-01-01_2006-01-01,NI,3.694,1.264,4.555,-0.352,-0.577,-4.745
Average,NI,3.694,1.264,4.555,-0.352,-0.577,-4.745
2009-01-01_2011-01-01,TEG,70.217,20.216,13.521,1.211,1.829,-8.971
Average,TEG,70.217,20.216,13.521,1.211,1.829,-8.971
2007-01-01_2009-01-01,AVP,-15.459,-5.647,15.305,-0.496,-0.651,-36.642
Average,AVP,-15.459,-5.647,15.305,-0.496,-0.651,-36.642
2008-01-01_2010-01-01,BDX,18.390,6.009,17.796,0.250,0.348,-21.939
Average,BDX,18.390,6.009,17.796,0.250,0.348,-21.939
2013-01-01_2015-01-01,ICE,0.509,0.176,4.395,-0.611,-0.825,-7.478
Average,ICE,0.509,0.176,4.395,-0.611,-0.825,-7.478
2008-01-01_2010-01-01,CAG,-3.742,-1.310,8.162,-0.483,-0.623,-18.664
Average,CAG,-3.742,-1.310,8.162,-0.483,-0.623,-18.664
2012-01-01_2014-01-01,BBBY,29.973,9.499,5.149,1.213,3.816,-2.053
Average,BBBY,29.973,9.499,5.149,1.213,3.816,-2.053
2015-01-01_2017-01-01,AIV,3.058,1.048,3.338,-0.558,-0.889,-3.785
Average,AIV,3.058,1.048,3.338,-0.558,-0.889,-3.785
2022-01-01_2024-01-01,LKQ,24.945,8.048,18.821,0.350,0.435,-25.008
Average,LKQ,24.945,8.048,18.821,0.350,0.435,-25.008
2019-01-01_2021-01-01,CB,5.088,1.730,17.119,0.013,0.018,-25.641
Average,CB,5.088,1.730,17.119,0.013,0.018,-25.641
2021-01-01_2023-01-01,UAA,3.731,1.281,25.967,0.063,0.094,-39.036
Average,UAA,3.731,1.281,25.967,0.063,0.094,-39.036
2009-01-01_2011-01-01,PRU,148.580,37.054,51.516,0.807,1.211,-48.988
Average,PRU,148.580,37.054,51.516,0.807,1.211,-48.988
2015-01-01_2017-01-01,PCP,1.183,0.757,18.314,-0.035,-0.067,-16.588
Average,PCP,1.183,0.757,18.314,-0.035,-0.067,-16.588
2015-01-01_2017-01-01,PFE,6.068,2.060,3.279,-0.265,-0.484,-3.162
Average,PFE,6.068,2.060,3.279,-0.265,-0.484,-3.162
2012-01-01_2014-01-01,GNW,78.897,22.304,18.453,1.023,1.537,-26.237
Average,GNW,78.897,22.304,18.453,1.023,1.537,-26.237
Average,All,10.999,3.087,13.071,-0.055,0.028,-17.160
