Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2007-01-01_2009-01-01,UTX,-1.836,-0.974,4.071,-1.077,-1.176,-6.161
Average,UTX,-1.836,-0.974,4.071,-1.077,-1.176,-6.161
2010-01-01_2012-01-01,JPM,4.529,2.383,6.039,-0.267,-0.100,-3.936
Average,JPM,4.529,2.383,6.039,-0.267,-0.100,-3.936
2014-01-01_2016-01-01,FFIV,-2.367,-1.258,5.283,-0.865,-1.047,-5.807
Average,FFIV,-2.367,-1.258,5.283,-0.865,-1.047,-5.807
2010-01-01_2012-01-01,DE,9.843,5.118,9.026,0.078,0.421,-7.743
Average,DE,9.843,5.118,9.026,0.078,0.421,-7.743
2012-01-01_2014-01-01,COG,14.047,7.191,16.999,0.183,0.523,-15.332
Average,COG,14.047,7.191,16.999,0.183,0.523,-15.332
2014-01-01_2016-01-01,COF,-5.165,-2.763,10.513,-0.519,-0.538,-14.461
2017-01-01_2019-01-01,COF,12.423,6.396,5.519,0.268,1.117,-3.725
Average,COF,3.629,1.817,8.016,-0.125,0.290,-9.093
2004-01-01_2006-01-01,PTC,-0.019,-0.010,18.061,-0.126,-0.081,-18.377
Average,PTC,-0.019,-0.010,18.061,-0.126,-0.081,-18.377
2006-01-01_2008-01-01,IPG,8.674,4.502,8.190,0.022,0.313,-6.731
Average,IPG,8.674,4.502,8.190,0.022,0.313,-6.731
2018-01-01_2020-01-01,LMT,0.915,0.482,5.323,-0.593,-0.561,-4.862
Average,LMT,0.915,0.482,5.323,-0.593,-0.561,-4.862
2019-01-01_2021-01-01,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,RTN,1.421,0.748,7.019,-0.407,-0.428,-5.911
Average,RTN,1.421,0.748,7.019,-0.407,-0.428,-5.911
2016-01-01_2018-01-01,MNST,11.532,5.974,7.098,0.174,0.664,-4.774
Average,MNST,11.532,5.974,7.098,0.174,0.664,-4.774
2016-01-01_2018-01-01,VZ,0.300,0.160,4.039,-0.858,-1.001,-5.066
Average,VZ,0.300,0.160,4.039,-0.858,-1.001,-5.066
2007-01-01_2009-01-01,CPB,-16.342,-8.996,9.696,-1.124,-1.389,-18.957
Average,CPB,-16.342,-8.996,9.696,-1.124,-1.389,-18.957
2020-01-01_2022-01-01,MTB,13.312,6.810,12.456,0.184,0.627,-6.810
Average,MTB,13.312,6.810,12.456,0.184,0.627,-6.810
2020-01-01_2022-01-01,NWS,17.051,8.655,13.957,0.276,0.701,-13.724
Average,NWS,17.051,8.655,13.957,0.276,0.701,-13.724
2014-01-01_2016-01-01,FSLR,-0.745,-0.394,4.139,-0.944,-1.159,-4.478
Average,FSLR,-0.745,-0.394,4.139,-0.944,-1.159,-4.478
2018-01-01_2020-01-01,NKE,1.774,0.933,8.436,-0.310,-0.237,-7.482
Average,NKE,1.774,0.933,8.436,-0.310,-0.237,-7.482
2019-01-01_2021-01-01,SLB,-4.337,-2.311,5.581,-0.972,-1.244,-8.173
Average,SLB,-4.337,-2.311,5.581,-0.972,-1.244,-8.173
2004-01-01_2006-01-01,XOM,10.019,5.174,8.429,0.085,0.426,-7.648
Average,XOM,10.019,5.174,8.429,0.085,0.426,-7.648
2020-01-01_2022-01-01,ROST,-8.844,-4.764,11.224,-0.633,-0.868,-19.089
Average,ROST,-8.844,-4.764,11.224,-0.633,-0.868,-19.089
2022-01-01_2024-01-01,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,TJX,8.574,4.432,8.372,0.017,0.302,-7.117
Average,TJX,8.574,4.432,8.372,0.017,0.302,-7.117
2009-01-01_2011-01-01,EKDKQ,-18.267,-10.108,17.706,-0.618,-0.773,-20.919
Average,EKDKQ,-18.267,-10.108,17.706,-0.618,-0.773,-20.919
2020-01-01_2022-01-01,CFG,14.160,7.231,16.385,0.188,0.483,-14.447
Average,CFG,14.160,7.231,16.385,0.188,0.483,-14.447
2012-01-01_2014-01-01,FISV,12.102,6.221,9.098,0.172,0.528,-8.830
2017-01-01_2019-01-01,FISV,-0.723,-0.383,7.661,-0.487,-0.482,-8.805
Average,FISV,5.689,2.919,8.379,-0.158,0.023,-8.817
2010-01-01_2012-01-01,BXP,2.048,1.084,8.409,-0.298,-0.246,-8.068
Average,BXP,2.048,1.084,8.409,-0.298,-0.246,-8.068
2017-01-01_2019-01-01,EXPE,-4.323,-2.312,1.698,-3.259,-3.110,-4.323
Average,EXPE,-4.323,-2.312,1.698,-3.259,-3.110,-4.323
2022-01-01_2024-01-01,EOG,-11.165,-6.100,8.523,-0.992,-1.287,-14.051
Average,EOG,-11.165,-6.100,8.523,-0.992,-1.287,-14.051
2005-01-01_2007-01-01,ACS,14.342,7.385,25.855,0.183,0.484,-24.247
Average,ACS,14.342,7.385,25.855,0.183,0.484,-24.247
2016-01-01_2018-01-01,JEC,5.915,3.103,7.983,-0.117,0.087,-9.411
Average,JEC,5.915,3.103,7.983,-0.117,0.087,-9.411
2017-01-01_2019-01-01,SYK,4.165,2.184,8.289,-0.197,-0.084,-5.492
Average,SYK,4.165,2.184,8.289,-0.197,-0.084,-5.492
2022-01-01_2024-01-01,DXCM,-12.219,-6.694,8.683,-1.031,-1.247,-16.394
Average,DXCM,-12.219,-6.694,8.683,-1.031,-1.247,-16.394
