Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,WFC,26.195,8.621,4.856,1.087,2.266,-3.757
Average,WFC,26.195,8.621,4.856,1.087,2.266,-3.757
2022-01-01_2024-01-01,LUMN,-5.823,-2.119,29.321,-0.032,-0.043,-45.112
Average,LUMN,-5.823,-2.119,29.321,-0.032,-0.043,-45.112
2008-01-01_2010-01-01,HOG,-43.072,-18.124,35.367,-0.466,-0.620,-67.412
Average,HOG,-43.072,-18.124,35.367,-0.466,-0.620,-67.412
2013-01-01_2015-01-01,ICE,-0.626,-0.223,7.154,-0.415,-0.545,-10.174
Average,ICE,-0.626,-0.223,7.154,-0.415,-0.545,-10.174
2018-01-01_2020-01-01,LMT,17.916,6.033,10.694,0.313,0.464,-21.078
Average,LMT,17.916,6.033,10.694,0.313,0.464,-21.078
2012-01-01_2014-01-01,BBBY,20.000,6.695,6.264,0.573,1.062,-3.901
Average,BBBY,20.000,6.695,6.264,0.573,1.062,-3.901
2008-01-01_2010-01-01,MSI,-41.412,-17.284,40.550,-0.337,-0.485,-65.020
Average,MSI,-41.412,-17.284,40.550,-0.337,-0.485,-65.020
2020-01-01_2022-01-01,ROST,40.185,12.738,32.314,0.433,0.620,-46.035
Average,ROST,40.185,12.738,32.314,0.433,0.620,-46.035
2015-01-01_2017-01-01,PCP,0.720,0.495,5.779,-0.415,-0.582,-3.486
Average,PCP,0.720,0.495,5.779,-0.415,-0.582,-3.486
2009-01-01_2011-01-01,TEG,1.047,0.371,15.012,-0.102,-0.136,-20.644
Average,TEG,1.047,0.371,15.012,-0.102,-0.136,-20.644
2015-01-01_2017-01-01,APH,-3.521,-1.266,9.878,-0.382,-0.512,-16.552
Average,APH,-3.521,-1.266,9.878,-0.382,-0.512,-16.552
2021-01-01_2023-01-01,NLSN,-1.787,-0.730,19.049,-0.108,-0.200,-30.141
Average,NLSN,-1.787,-0.730,19.049,-0.108,-0.200,-30.141
2014-01-01_2016-01-01,NFLX,-19.605,-7.463,24.400,-0.315,-0.429,-40.134
Average,NFLX,-19.605,-7.463,24.400,-0.315,-0.429,-40.134
2008-01-01_2010-01-01,CAG,-14.631,-5.460,14.063,-0.537,-0.691,-35.396
Average,CAG,-14.631,-5.460,14.063,-0.537,-0.691,-35.396
2015-01-01_2017-01-01,SCG,23.251,7.713,9.116,0.520,0.768,-9.692
Average,SCG,23.251,7.713,9.116,0.520,0.768,-9.692
2005-01-01_2007-01-01,CTX,-8.640,-3.174,15.914,-0.310,-0.458,-32.504
Average,CTX,-8.640,-3.174,15.914,-0.310,-0.458,-32.504
2010-01-01_2012-01-01,DE,31.192,10.176,11.810,0.613,1.130,-10.475
Average,DE,31.192,10.176,11.810,0.613,1.130,-10.475
2010-01-01_2012-01-01,LM,22.578,7.537,21.578,0.299,0.454,-24.202
Average,LM,22.578,7.537,21.578,0.299,0.454,-24.202
2011-01-01_2013-01-01,MCK,10.425,3.588,13.022,0.100,0.161,-13.233
Average,MCK,10.425,3.588,13.022,0.100,0.161,-13.233
2016-01-01_2018-01-01,WY,12.786,4.388,13.270,0.159,0.237,-11.243
Average,WY,12.786,4.388,13.270,0.159,0.237,-11.243
2019-01-01_2021-01-01,CB,-18.997,-7.205,21.228,-0.381,-0.470,-41.276
Average,CB,-18.997,-7.205,21.228,-0.381,-0.470,-41.276
2010-01-01_2012-01-01,BXP,17.986,6.081,17.505,0.247,0.386,-18.324
Average,BXP,17.986,6.081,17.505,0.247,0.386,-18.324
2018-01-01_2020-01-01,BIIB,22.682,7.536,30.626,0.292,0.404,-36.041
Average,BIIB,22.682,7.536,30.626,0.292,0.404,-36.041
2009-01-01_2011-01-01,PCAR,53.689,16.503,14.377,0.910,1.598,-13.842
2011-01-01_2013-01-01,PCAR,8.231,2.851,13.078,0.047,0.082,-21.448
Average,PCAR,30.960,9.677,13.727,0.479,0.840,-17.645
2014-01-01_2016-01-01,FFIV,-0.558,-0.199,14.500,-0.149,-0.204,-12.664
Average,FFIV,-0.558,-0.199,14.500,-0.149,-0.204,-12.664
2020-01-01_2022-01-01,CFG,47.220,14.714,38.667,0.467,0.662,-57.364
Average,CFG,47.220,14.714,38.667,0.467,0.662,-57.364
2022-01-01_2024-01-01,DXCM,32.437,10.548,24.036,0.404,0.626,-28.310
Average,DXCM,32.437,10.548,24.036,0.404,0.626,-28.310
2012-01-01_2014-01-01,KMB,-5.598,-2.027,6.053,-0.799,-0.927,-9.593
Average,KMB,-5.598,-2.027,6.053,-0.799,-0.927,-9.593
2011-01-01_2013-01-01,MO,3.190,1.122,8.218,-0.190,-0.246,-12.839
Average,MO,3.190,1.122,8.218,-0.190,-0.246,-12.839
2010-01-01_2012-01-01,JPM,5.384,1.889,16.511,0.011,0.024,-18.402
Average,JPM,5.384,1.889,16.511,0.011,0.024,-18.402
2007-01-01_2009-01-01,RTN,-0.550,-0.196,19.170,-0.072,-0.097,-31.069
Average,RTN,-0.550,-0.196,19.170,-0.072,-0.097,-31.069
2004-01-01_2006-01-01,AAPL,-1.112,-0.397,12.027,-0.222,-0.287,-21.673
Average,AAPL,-1.112,-0.397,12.027,-0.222,-0.287,-21.673
2004-01-01_2006-01-01,XOM,-2.200,-0.788,5.813,-0.621,-0.770,-8.850
Average,XOM,-2.200,-0.788,5.813,-0.621,-0.770,-8.850
2014-01-01_2016-01-01,HPQ,15.483,5.250,16.355,0.205,0.323,-25.973
Average,HPQ,15.483,5.250,16.355,0.205,0.323,-25.973
2019-01-01_2021-01-01,CXO,79.251,23.016,29.069,0.740,1.276,-24.226
Average,CXO,79.251,23.016,29.069,0.740,1.276,-24.226
2014-01-01_2016-01-01,FSLR,35.169,11.306,22.614,0.443,0.746,-27.190
Average,FSLR,35.169,11.306,22.614,0.443,0.746,-27.190
2019-01-01_2021-01-01,TJX,34.461,11.082,27.366,0.407,0.578,-40.696
Average,TJX,34.461,11.082,27.366,0.407,0.578,-40.696
2016-01-01_2018-01-01,SJM,1.055,0.375,9.016,-0.246,-0.277,-17.308
Average,SJM,1.055,0.375,9.016,-0.246,-0.277,-17.308
2022-01-01_2024-01-01,EOG,19.230,6.479,15.894,0.280,0.409,-22.243
Average,EOG,19.230,6.479,15.894,0.280,0.409,-22.243
2007-01-01_2009-01-01,TRV,60.694,18.364,20.199,0.772,1.419,-16.919
2021-01-01_2023-01-01,TRV,14.274,4.878,8.755,0.237,0.372,-11.102
Average,TRV,37.484,11.621,14.477,0.505,0.896,-14.010
2005-01-01_2007-01-01,LNC,21.371,7.158,9.227,0.460,0.707,-8.837
Average,LNC,21.371,7.158,9.227,0.460,0.707,-8.837
2013-01-01_2015-01-01,AMP,22.775,7.565,8.941,0.513,0.843,-10.282
Average,AMP,22.775,7.565,8.941,0.513,0.843,-10.282
2005-01-01_2007-01-01,MERQ,51.566,17.553,13.761,1.007,2.047,-10.199
Average,MERQ,51.566,17.553,13.761,1.007,2.047,-10.199
2007-01-01_2009-01-01,CPB,38.298,12.215,11.757,0.769,1.499,-8.622
Average,CPB,38.298,12.215,11.757,0.769,1.499,-8.622
2017-01-01_2019-01-01,SYK,17.244,5.826,8.191,0.356,0.542,-8.970
Average,SYK,17.244,5.826,8.191,0.356,0.542,-8.970
2015-01-01_2017-01-01,AIV,27.953,9.156,8.961,0.674,1.074,-5.900
Average,AIV,27.953,9.156,8.961,0.674,1.074,-5.900
2022-01-01_2024-01-01,LKQ,4.808,1.690,13.082,-0.038,-0.046,-12.938
Average,LKQ,4.808,1.690,13.082,-0.038,-0.046,-12.938
2006-01-01_2008-01-01,ASN,11.670,4.634,12.062,0.179,0.295,-12.757
Average,ASN,11.670,4.634,12.062,0.179,0.295,-12.757
2011-01-01_2013-01-01,UNH,38.890,12.385,13.152,0.713,1.059,-16.475
Average,UNH,38.890,12.385,13.152,0.713,1.059,-16.475
2006-01-01_2008-01-01,RDC,25.137,8.308,16.106,0.382,0.576,-15.500
Average,RDC,25.137,8.308,16.106,0.382,0.576,-15.500
2022-01-01_2024-01-01,HSY,-13.434,-5.019,10.213,-0.741,-0.985,-29.463
Average,HSY,-13.434,-5.019,10.213,-0.741,-0.985,-29.463
Average,All,12.365,3.521,16.290,0.129,0.288,-22.487
