Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,JOUT,-3.0577,8.2582,-0.6935,-0.5361,-14.2578
2005-01-01_2007-01-01,JOUT,-5.6544,9.5305,-0.8701,-0.7259,-20.4395
2006-01-01_2008-01-01,JOUT,-1.003,14.067,-0.216,-0.1985,-15.4503
2007-01-01_2009-01-01,JOUT,39.7967,26.7176,1.254,1.2083,-16.2327
2008-01-01_2010-01-01,JOUT,32.3599,39.761,0.8119,0.7494,-35.1227
2009-01-01_2011-01-01,JOUT,6.1947,37.7915,0.2601,0.2292,-38.4817
2010-01-01_2012-01-01,JOUT,-6.9069,29.8307,-0.1908,-0.1705,-37.6269
2011-01-01_2013-01-01,JOUT,-12.2485,27.8904,-0.4326,-0.3977,-35.9502
2012-01-01_2014-01-01,JOUT,-9.2255,19.6351,-0.5421,-0.4381,-40.4435
2013-01-01_2015-01-01,JOUT,2.9136,17.5561,0.0763,0.0676,-20.5899
2014-01-01_2016-01-01,JOUT,4.9985,24.9783,0.1948,0.1934,-35.3381
2015-01-01_2017-01-01,JOUT,-12.2067,24.7672,-0.5174,-0.4879,-47.247
2016-01-01_2018-01-01,JOUT,-14.2634,20.5196,-0.7863,-0.6958,-44.3269
2017-01-01_2019-01-01,JOUT,-1.3704,27.6396,-0.0178,-0.0107,-35.7141
2018-01-01_2020-01-01,JOUT,4.0046,25.8424,0.1668,0.1051,-30.0845
2019-01-01_2021-01-01,JOUT,-10.5268,20.7488,-0.5698,-0.4396,-48.2066
2020-01-01_2022-01-01,JOUT,-12.8038,22.7533,-0.6121,-0.5113,-60.549
2021-01-01_2023-01-01,JOUT,7.0204,20.919,0.2783,0.3103,-27.3693
2022-01-01_2024-01-01,JOUT,0.1944,21.1172,-0.0294,-0.0262,-25.3224
Average,JOUT,0.4324,23.1749,-0.1282,-0.0934,-33.0923
2004-01-01_2006-01-01,CDP,-11.2683,13.5091,-1.0279,-0.8391,-34.3489
2005-01-01_2007-01-01,CDP,-9.6257,11.1975,-1.1039,-0.9431,-30.1018
2006-01-01_2008-01-01,CDP,8.126,14.8579,0.3893,0.4445,-12.8286
2007-01-01_2009-01-01,CDP,-10.0288,33.2474,-0.2362,-0.18,-48.6714
2008-01-01_2010-01-01,CDP,-30.2025,39.9597,-0.7609,-0.6152,-69.25
2009-01-01_2011-01-01,CDP,-19.0755,25.8691,-0.7933,-0.6352,-52.9712
2010-01-01_2012-01-01,CDP,-2.1236,20.6125,-0.1471,-0.1486,-30.0751
2011-01-01_2013-01-01,CDP,-0.6703,18.856,-0.1018,-0.0958,-21.2417
2012-01-01_2014-01-01,CDP,0.5356,11.758,-0.1525,-0.1343,-14.201
2013-01-01_2015-01-01,CDP,2.5499,11.5854,0.0121,0.0145,-11.164
2014-01-01_2016-01-01,CDP,6.2478,11.7661,0.3104,0.3483,-13.2745
2015-01-01_2017-01-01,CDP,1.4858,12.3096,-0.0652,-0.0579,-22.3907
2016-01-01_2018-01-01,CDP,-6.4359,10.5045,-0.8583,-0.6743,-24.8922
2017-01-01_2019-01-01,CDP,6.8565,11.8475,0.3567,0.3863,-20.5763
2018-01-01_2020-01-01,CDP,-4.8127,11.9724,-0.5981,-0.5416,-25.0171
2019-01-01_2021-01-01,CDP,-4.1238,23.2361,-0.1954,-0.1837,-31.5782
2020-01-01_2022-01-01,CDP,1.1188,24.158,0.0383,0.0398,-37.2583
2021-01-01_2023-01-01,CDP,-4.3816,14.7458,-0.4306,-0.4281,-24.3551
2022-01-01_2024-01-01,CDP,-7.2877,14.9558,-0.6259,-0.6346,-21.9646
Average,CDP,-4.3745,17.7341,-0.3153,-0.2567,-28.7453
2004-01-01_2006-01-01,CW,2.0377,16.1435,0.0162,0.0178,-16.2491
2005-01-01_2007-01-01,CW,-4.0771,15.1396,-0.3954,-0.3611,-23.8562
2006-01-01_2008-01-01,CW,-14.762,14.5124,-1.2203,-1.1411,-39.9002
2007-01-01_2009-01-01,CW,-6.581,25.1893,-0.2611,-0.2369,-29.4843
2008-01-01_2010-01-01,CW,3.8197,26.4243,0.1562,0.1563,-28.1041
2009-01-01_2011-01-01,CW,8.1883,18.3383,0.3493,0.3423,-18.0262
2010-01-01_2012-01-01,CW,-2.2151,19.1136,-0.1786,-0.1597,-30.6829
2011-01-01_2013-01-01,CW,-13.7761,17.6696,-0.9097,-0.8257,-34.0608
2012-01-01_2014-01-01,CW,-3.1777,12.0413,-0.4544,-0.3861,-23.6114
2013-01-01_2015-01-01,CW,-1.5799,12.289,-0.3117,-0.2775,-14.8526
2014-01-01_2016-01-01,CW,-5.3454,13.5705,-0.5536,-0.5554,-23.8459
2015-01-01_2017-01-01,CW,-4.4791,12.9966,-0.5146,-0.4624,-20.677
2016-01-01_2018-01-01,CW,-3.3049,11.2087,-0.5083,-0.3921,-14.5274
2017-01-01_2019-01-01,CW,8.1248,13.014,0.425,0.4563,-14.5336
2018-01-01_2020-01-01,CW,10.2922,14.2937,0.5359,0.5721,-10.9872
2019-01-01_2021-01-01,CW,-2.3332,21.3666,-0.1444,-0.1236,-38.3908
2020-01-01_2022-01-01,CW,-8.1363,22.2503,-0.4014,-0.3596,-47.3517
2021-01-01_2023-01-01,CW,-7.4148,15.7173,-0.5966,-0.4691,-30.6612
2022-01-01_2024-01-01,CW,-3.1008,14.7106,-0.3427,-0.267,-15.2762
Average,CW,-2.5169,16.631,-0.2795,-0.2354,-25.0041
2004-01-01_2006-01-01,PII,-5.437,15.6963,-0.4645,-0.3672,-21.0755
2005-01-01_2007-01-01,PII,8.0845,16.2058,0.3679,0.3523,-16.8836
2006-01-01_2008-01-01,PII,1.0583,15.4229,-0.0517,-0.0493,-28.218
2007-01-01_2009-01-01,PII,-7.0426,27.4639,-0.2359,-0.2123,-43.4725
2008-01-01_2010-01-01,PII,-10.2797,30.4133,-0.2999,-0.2668,-38.8812
2009-01-01_2011-01-01,PII,1.2337,29.8425,0.0847,0.0772,-46.4653
2010-01-01_2012-01-01,PII,-3.1376,18.6736,-0.2375,-0.2201,-18.7189
2011-01-01_2013-01-01,PII,-13.7508,19.7796,-0.7919,-0.7688,-38.0303
2012-01-01_2014-01-01,PII,-14.8845,15.22,-1.1659,-0.9537,-38.8792
2013-01-01_2015-01-01,PII,-9.0665,13.6454,-0.8388,-0.6194,-28.3256
2014-01-01_2016-01-01,PII,-1.6546,17.2581,-0.1842,-0.1709,-27.2747
2015-01-01_2017-01-01,PII,10.0545,18.8975,0.4339,0.4376,-18.0303
2016-01-01_2018-01-01,PII,-4.3333,16.8028,-0.3552,-0.2763,-23.9439
2017-01-01_2019-01-01,PII,4.2433,15.9377,0.1463,0.1693,-26.4784
2018-01-01_2020-01-01,PII,5.4895,20.4821,0.2114,0.2089,-18.509
2019-01-01_2021-01-01,PII,1.7058,27.6767,0.0853,0.089,-25.9283
2020-01-01_2022-01-01,PII,-4.5057,26.4065,-0.1589,-0.158,-51.8294
2021-01-01_2023-01-01,PII,-11.6941,22.1712,-0.5795,-0.5733,-41.7345
2022-01-01_2024-01-01,PII,-1.9768,21.3929,-0.1271,-0.1211,-31.2879
Average,PII,-2.9418,20.4941,-0.219,-0.1802,-30.7351
2004-01-01_2006-01-01,CAT,-10.1537,14.7699,-0.8458,-0.8353,-28.2752
2005-01-01_2007-01-01,CAT,-10.3591,14.7971,-0.8591,-0.8287,-38.069
2006-01-01_2008-01-01,CAT,-11.2001,14.2838,-0.9596,-0.8968,-29.1851
2007-01-01_2009-01-01,CAT,-7.5227,21.5222,-0.3915,-0.3483,-39.6835
2008-01-01_2010-01-01,CAT,-0.0762,25.9246,0.0091,0.0102,-32.0635
2009-01-01_2011-01-01,CAT,-6.8476,19.8935,-0.4041,-0.317,-35.7683
2010-01-01_2012-01-01,CAT,4.5276,19.8441,0.1666,0.1556,-31.2367
2011-01-01_2013-01-01,CAT,4.3031,18.4506,0.1533,0.1504,-20.7165
2012-01-01_2014-01-01,CAT,4.1055,12.6392,0.1389,0.1255,-13.2173
2013-01-01_2015-01-01,CAT,2.8706,9.9878,0.0283,0.027,-20.1373
2014-01-01_2016-01-01,CAT,2.876,13.6925,0.0524,0.0501,-14.08
2015-01-01_2017-01-01,CAT,-4.4661,15.3299,-0.4136,-0.3276,-16.8166
2016-01-01_2018-01-01,CAT,-11.0761,12.8087,-1.0743,-0.7429,-32.7711
2017-01-01_2019-01-01,CAT,-6.3933,15.2778,-0.5476,-0.4733,-27.189
2018-01-01_2020-01-01,CAT,5.6313,16.3185,0.2274,0.2264,-19.6789
2019-01-01_2021-01-01,CAT,-3.3746,20.5149,-0.2111,-0.1899,-39.9769
2020-01-01_2022-01-01,CAT,-12.7925,20.5044,-0.7043,-0.667,-51.105
2021-01-01_2023-01-01,CAT,-0.4658,16.2348,-0.1335,-0.1329,-23.311
2022-01-01_2024-01-01,CAT,0.0679,17.3186,-0.0841,-0.0752,-24.4135
Average,CAT,-3.1761,16.848,-0.308,-0.2679,-28.2997
2004-01-01_2006-01-01,NGS,-13.755,33.0126,-0.3703,-0.2663,-63.7818
2005-01-01_2007-01-01,NGS,4.8347,34.7001,0.2176,0.1799,-36.5357
2006-01-01_2008-01-01,NGS,-9.8861,25.6249,-0.39,-0.3177,-37.0661
2007-01-01_2009-01-01,NGS,-13.185,38.899,-0.2408,-0.1872,-49.2667
2008-01-01_2010-01-01,NGS,13.4565,47.355,0.4335,0.3824,-51.4656
2009-01-01_2011-01-01,NGS,5.1026,29.9663,0.2113,0.1742,-24.3112
2010-01-01_2012-01-01,NGS,-8.8245,27.0056,-0.3139,-0.2469,-34.501
2011-01-01_2013-01-01,NGS,-14.0336,25.9095,-0.5622,-0.4689,-55.5468
2012-01-01_2014-01-01,NGS,-17.6405,18.9319,-1.0747,-0.8475,-44.7586
2013-01-01_2015-01-01,NGS,2.4397,17.6608,0.0516,0.0517,-26.1036
2014-01-01_2016-01-01,NGS,2.7738,23.3965,0.1025,0.1003,-25.793
2015-01-01_2017-01-01,NGS,-9.5782,25.6306,-0.3778,-0.3591,-33.0184
2016-01-01_2018-01-01,NGS,0.9599,21.5129,0.0106,0.0109,-26.2098
2017-01-01_2019-01-01,NGS,21.7456,18.7653,0.9666,1.0232,-12.2873
2018-01-01_2020-01-01,NGS,16.5287,21.3186,0.6716,0.7843,-20.0978
2019-01-01_2021-01-01,NGS,9.5503,31.1956,0.346,0.3029,-46.054
2020-01-01_2022-01-01,NGS,-0.163,32.8407,0.0656,0.0585,-46.1085
2021-01-01_2023-01-01,NGS,-2.3483,23.8591,-0.1068,-0.1041,-29.7774
2022-01-01_2024-01-01,NGS,-13.4179,23.5735,-0.6127,-0.5121,-38.1453
Average,NGS,-1.339,27.4294,-0.0512,-0.0127,-36.8857
2004-01-01_2006-01-01,CZFS,4.1488,11.9559,0.1432,0.0958,-12.7015
2005-01-01_2007-01-01,CZFS,-1.6995,18.1803,-0.1683,-0.1054,-22.7645
2006-01-01_2008-01-01,CZFS,-12.2787,20.3866,-0.6799,-0.4509,-37.6215
2007-01-01_2009-01-01,CZFS,-12.6731,20.3838,-0.7007,-0.4206,-37.0138
2008-01-01_2010-01-01,CZFS,-16.3581,22.6966,-0.7953,-0.4675,-40.7458
2009-01-01_2011-01-01,CZFS,-18.1197,21.5609,-0.9461,-0.5409,-44.3647
2010-01-01_2012-01-01,CZFS,-14.7043,15.0748,-1.1635,-0.6318,-36.6049
2011-01-01_2013-01-01,CZFS,-11.3536,12.4472,-1.1332,-0.591,-34.719
2012-01-01_2014-01-01,CZFS,-13.4509,9.0775,-1.854,-0.8998,-34.7411
2013-01-01_2015-01-01,CZFS,-12.1747,8.659,-1.7816,-0.9575,-30.5619
2014-01-01_2016-01-01,CZFS,-7.1306,8.033,-1.2417,-0.643,-18.766
2015-01-01_2017-01-01,CZFS,-6.5366,9.7439,-0.9438,-0.5297,-19.4266
2016-01-01_2018-01-01,CZFS,-9.8694,10.2773,-1.2381,-0.7343,-27.14
2017-01-01_2019-01-01,CZFS,-4.5876,7.4091,-0.9937,-0.6696,-24.3256
2018-01-01_2020-01-01,CZFS,-7.0809,8.2162,-1.2057,-0.6718,-18.6795
2019-01-01_2021-01-01,CZFS,4.051,14.713,0.1338,0.1017,-19.6375
2020-01-01_2022-01-01,CZFS,5.2396,14.197,0.2121,0.1862,-19.6346
2021-01-01_2023-01-01,CZFS,-0.8641,11.6918,-0.2727,-0.1915,-15.8019
2022-01-01_2024-01-01,CZFS,21.8236,18.2407,0.9923,0.8775,-10.7935
Average,CZFS,-5.9799,13.8392,-0.7177,-0.3813,-26.6339
