Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
Average,URI,-9.884,-6.970,27.618,-0.228,-0.275,-33.006
2009-01-01_2010-01-01,FDO,15.017,10.200,7.724,0.912,1.750,-4.010
Average,FDO,15.017,10.200,7.724,0.912,1.750,-4.010
2015-01-01_2016-01-01,LUV,15.573,10.569,13.836,0.581,0.845,-12.569
Average,LUV,15.573,10.569,13.836,0.581,0.845,-12.569
2023-01-01_2024-01-01,APA,-9.562,-6.794,25.595,-0.263,-0.358,-24.515
Average,APA,-9.562,-6.794,25.595,-0.263,-0.358,-24.515
2007-01-01_2008-01-01,JNPR,11.899,8.141,7.112,0.719,1.358,-2.980
Average,JNPR,11.899,8.141,7.112,0.719,1.358,-2.980
2017-01-01_2018-01-01,KEY,3.940,2.742,2.298,-0.101,-0.758,-0.404
Average,KEY,3.940,2.742,2.298,-0.101,-0.758,-0.404
2009-01-01_2010-01-01,APOL,22.528,15.147,11.577,1.019,1.991,-5.851
Average,APOL,22.528,15.147,11.577,1.019,1.991,-5.851
2004-01-01_2005-01-01,CTX,28.493,18.954,16.180,0.969,1.719,-8.436
Average,CTX,28.493,18.954,16.180,0.969,1.719,-8.436
2005-01-01_2006-01-01,DALRQ,20.280,13.757,18.527,0.622,1.427,-10.292
Average,DALRQ,20.280,13.757,18.527,0.622,1.427,-10.292
2020-01-01_2021-01-01,QRVO,5.811,3.988,26.645,0.172,0.220,-24.489
Average,QRVO,5.811,3.988,26.645,0.172,0.220,-24.489
2009-01-01_2010-01-01,AYE,4.248,2.930,2.975,-0.011,-0.177,-0.478
2010-01-01_2011-01-01,AYE,17.584,11.972,17.690,0.554,1.312,-10.458
Average,AYE,10.916,7.451,10.333,0.272,0.567,-5.468
2009-01-01_2010-01-01,PBCT,-0.769,-0.535,11.802,-0.238,-0.349,-6.316
Average,PBCT,-0.769,-0.535,11.802,-0.238,-0.349,-6.316
2015-01-01_2016-01-01,MNST,-10.580,-7.469,7.958,-1.308,-1.510,-14.206
Average,MNST,-10.580,-7.469,7.958,-1.308,-1.510,-14.206
2016-01-01_2017-01-01,ATVI,10.521,7.233,15.182,0.341,0.454,-14.466
Average,ATVI,10.521,7.233,15.182,0.341,0.454,-14.466
2007-01-01_2008-01-01,AMZN,2.053,1.425,4.687,-0.307,-0.438,-4.587
2010-01-01_2011-01-01,AMZN,3.053,2.122,5.874,-0.118,-0.234,-4.482
Average,AMZN,2.553,1.773,5.280,-0.213,-0.336,-4.534
2012-01-01_2013-01-01,GWW,28.983,19.326,19.131,0.863,1.323,-16.195
Average,GWW,28.983,19.326,19.131,0.863,1.323,-16.195
2011-01-01_2012-01-01,MEE,5.288,5.288,6.161,1.031,0.000,-0.690
Average,MEE,5.288,5.288,6.161,1.031,0.000,-0.690
2021-01-01_2022-01-01,GM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GM,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,GE,-2.391,-1.675,3.770,-1.215,-1.522,-6.682
Average,GE,-2.391,-1.675,3.770,-1.215,-1.522,-6.682
2017-01-01_2018-01-01,CFG,7.003,4.852,4.720,0.399,0.733,-2.605
Average,CFG,7.003,4.852,4.720,0.399,0.733,-2.605
2014-01-01_2015-01-01,MU,28.067,18.737,11.260,1.318,2.339,-3.838
2018-01-01_2019-01-01,MU,11.718,7.996,13.289,0.421,0.752,-14.086
Average,MU,19.893,13.366,12.275,0.870,1.545,-8.962
2014-01-01_2015-01-01,NFLX,0.493,0.342,9.922,-0.215,-0.320,-12.186
Average,NFLX,0.493,0.342,9.922,-0.215,-0.320,-12.186
2008-01-01_2009-01-01,DE,-31.124,-22.751,39.270,-0.534,-0.655,-58.289
Average,DE,-31.124,-22.751,39.270,-0.534,-0.655,-58.289
2012-01-01_2013-01-01,HAR,13.661,9.297,17.250,0.429,0.641,-16.860
Average,HAR,13.661,9.297,17.250,0.429,0.641,-16.860
2020-01-01_2021-01-01,STT,22.550,15.117,23.807,0.586,0.855,-16.781
Average,STT,22.550,15.117,23.807,0.586,0.855,-16.781
2009-01-01_2010-01-01,XOM,6.689,4.597,15.316,0.176,0.244,-13.600
Average,XOM,6.689,4.597,15.316,0.176,0.244,-13.600
2010-01-01_2011-01-01,BDK,0.209,0.209,12.386,-0.112,-0.181,-5.356
Average,BDK,0.209,0.209,12.386,-0.112,-0.181,-5.356
2020-01-01_2021-01-01,TGT,11.298,7.692,22.958,0.307,0.470,-16.703
Average,TGT,11.298,7.692,22.958,0.307,0.470,-16.703
2005-01-01_2006-01-01,AMD,18.671,12.693,6.199,1.481,3.788,-3.048
2010-01-01_2011-01-01,AMD,4.293,2.977,16.644,0.083,0.108,-16.505
Average,AMD,11.482,7.835,11.421,0.782,1.948,-9.776
2018-01-01_2019-01-01,DLTR,-0.299,-0.207,10.190,-0.260,-0.332,-10.926
Average,DLTR,-0.299,-0.207,10.190,-0.260,-0.332,-10.926
2014-01-01_2015-01-01,DAL,-1.406,-0.978,1.003,-3.930,0.000,-1.406
Average,DAL,-1.406,-0.978,1.003,-3.930,0.000,-1.406
2005-01-01_2006-01-01,KMG,47.147,30.948,34.635,0.863,1.370,-15.951
Average,KMG,47.147,30.948,34.635,0.863,1.370,-15.951
2019-01-01_2020-01-01,SBUX,7.181,4.932,2.764,0.683,3.641,-0.548
Average,SBUX,7.181,4.932,2.764,0.683,3.641,-0.548
2020-01-01_2021-01-01,TIF,-16.353,-11.629,14.207,-1.005,-1.145,-16.601
Average,TIF,-16.353,-11.629,14.207,-1.005,-1.145,-16.601
2013-01-01_2014-01-01,WHR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WHR,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,APCC,0.800,0.800,1.450,1.869,3.647,-0.292
Average,APCC,0.800,0.800,1.450,1.869,3.647,-0.292
2015-01-01_2016-01-01,AABA,-30.068,-21.986,21.530,-1.182,-1.510,-37.465
Average,AABA,-30.068,-21.986,21.530,-1.182,-1.510,-37.465
2018-01-01_2019-01-01,ALGN,14.007,9.527,17.626,0.437,0.590,-25.719
2020-01-01_2021-01-01,ALGN,-2.636,-1.832,25.645,-0.061,-0.089,-29.238
2021-01-01_2022-01-01,ALGN,41.841,27.634,22.889,1.049,1.806,-14.368
Average,ALGN,17.737,11.776,22.053,0.475,0.769,-23.108
2013-01-01_2014-01-01,THC,2.367,1.637,7.591,-0.138,-0.174,-8.014
Average,THC,2.367,1.637,7.591,-0.138,-0.174,-8.014
2008-01-01_2009-01-01,CNX,85.727,53.513,66.057,0.935,1.301,-45.875
Average,CNX,85.727,53.513,66.057,0.935,1.301,-45.875
2016-01-01_2017-01-01,GAS,5.058,5.058,4.963,0.891,1.282,-1.301
Average,GAS,5.058,5.058,4.963,0.891,1.282,-1.301
2019-01-01_2020-01-01,ULTA,1.821,1.260,9.278,-0.138,-0.201,-12.796
Average,ULTA,1.821,1.260,9.278,-0.138,-0.201,-12.796
2023-01-01_2024-01-01,RCL,28.960,19.487,11.558,1.340,3.825,-5.412
Average,RCL,28.960,19.487,11.558,1.340,3.825,-5.412
2014-01-01_2015-01-01,BIIB,0.648,0.450,6.004,-0.389,-0.557,-7.103
Average,BIIB,0.648,0.450,6.004,-0.389,-0.557,-7.103
2022-01-01_2023-01-01,F,16.505,11.253,9.929,0.825,1.334,-7.022
Average,F,16.505,11.253,9.929,0.825,1.334,-7.022
2021-01-01_2022-01-01,FCX,27.393,18.412,30.626,0.606,0.962,-27.846
Average,FCX,27.393,18.412,30.626,0.606,0.962,-27.846
2004-01-01_2005-01-01,NOVL,-7.108,-4.976,13.464,-0.533,-0.775,-14.033
Average,NOVL,-7.108,-4.976,13.464,-0.533,-0.775,-14.033
2014-01-01_2015-01-01,FSLR,19.540,13.191,9.891,1.002,1.683,-6.431
2023-01-01_2024-01-01,FSLR,13.201,9.068,14.973,0.454,0.912,-9.402
Average,FSLR,16.371,11.129,12.432,0.728,1.297,-7.917
2015-01-01_2016-01-01,EW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EW,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,RX,416.532,211.661,337.862,0.828,112.191,-2.402
Average,RX,416.532,211.661,337.862,0.828,112.191,-2.402
Average,All,10.372,6.131,17.238,0.094,1.525,-12.754
