Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2017-01-01_2019-01-01,JPM,6.7716,8.2238,0.4778,0.2646,-11.4457
2018-01-01_2020-01-01,JPM,8.4409,13.3427,0.4521,0.4363,-14.1677
2019-01-01_2021-01-01,JPM,-4.2897,10.9037,-0.6182,-0.2542,-27.7992
2020-01-01_2022-01-01,JPM,-5.9403,25.7239,-0.224,-0.1169,-39.3161
2021-01-01_2023-01-01,JPM,6.2276,6.365,0.5157,0.2385,-5.4934
2022-01-01_2024-01-01,JPM,2.4809,10.9173,0.0079,0.0029,-10.0812
Average,JPM,4.1553,13.714,0.017,0.053,-16.8305
2004-01-01_2006-01-01,CDP,3.2039,6.8629,0.0624,0.0281,-8.8672
2005-01-01_2007-01-01,CDP,8.6003,8.0046,0.701,0.4491,-6.2511
2006-01-01_2008-01-01,CDP,2.0856,6.342,-0.1097,-0.0446,-5.9104
2007-01-01_2009-01-01,CDP,-5.699,41.7811,0.0,-0.0008,-40.9523
2008-01-01_2010-01-01,CDP,11.3002,35.333,0.3951,0.3007,-34.8362
2009-01-01_2011-01-01,CDP,6.9844,16.5535,0.3101,0.2943,-25.2141
2010-01-01_2012-01-01,CDP,3.5984,12.3016,0.1071,0.0663,-14.6199
2011-01-01_2013-01-01,CDP,4.4622,16.1173,0.1674,0.1096,-29.8453
2012-01-01_2014-01-01,CDP,0.5791,9.6086,-0.2,-0.1584,-14.4389
2013-01-01_2015-01-01,CDP,2.2515,5.6242,-0.1024,-0.0522,-5.4703
2014-01-01_2016-01-01,CDP,-3.3634,5.5145,-1.1295,-0.4791,-12.9118
2015-01-01_2017-01-01,CDP,4.6582,6.8895,0.2657,0.1397,-6.4211
2016-01-01_2018-01-01,CDP,3.7315,3.9671,0.1971,0.0774,-4.0171
2017-01-01_2019-01-01,CDP,-4.2091,6.8839,-1.0199,-0.397,-16.6432
2018-01-01_2020-01-01,CDP,-1.8767,8.4946,-0.5288,-0.2419,-22.3973
2019-01-01_2021-01-01,CDP,15.3906,12.8958,0.9449,0.5448,-19.0418
2020-01-01_2022-01-01,CDP,20.7381,16.1859,1.0619,0.8495,-17.9779
2021-01-01_2023-01-01,CDP,6.6381,8.1234,0.4672,0.3197,-6.9938
2022-01-01_2024-01-01,CDP,4.4519,10.4188,0.1859,0.1196,-8.6935
Average,CDP,4.3961,12.5212,0.0934,0.1013,-15.8686
2004-01-01_2006-01-01,CW,6.9292,18.7944,0.2917,0.3106,-12.7968
2005-01-01_2007-01-01,CW,-1.2574,11.4329,-0.3127,-0.2394,-20.4195
2006-01-01_2008-01-01,CW,5.267,6.3326,0.3747,0.1198,-5.3091
2007-01-01_2009-01-01,CW,4.4021,19.7977,0.166,0.0815,-22.6018
2008-01-01_2010-01-01,CW,-2.1509,28.1006,-0.0419,-0.0345,-38.7255
2009-01-01_2011-01-01,CW,8.8743,19.6058,0.3811,0.2769,-26.0915
2010-01-01_2012-01-01,CW,-3.2639,12.2223,-0.4522,-0.2475,-21.3633
2011-01-01_2013-01-01,CW,3.245,9.752,0.0725,0.0458,-11.3575
2012-01-01_2014-01-01,CW,-2.1286,5.6962,-0.8688,-0.4159,-13.6527
2013-01-01_2015-01-01,CW,9.1425,9.3342,0.6666,0.442,-8.6355
2014-01-01_2016-01-01,CW,6.9882,14.6343,0.3322,0.3826,-19.5408
2015-01-01_2017-01-01,CW,6.8783,8.6631,0.4691,0.3219,-10.2603
2016-01-01_2018-01-01,CW,2.962,3.7515,0.0078,-0.0012,-4.8253
2017-01-01_2019-01-01,CW,4.5236,7.1667,0.2404,0.0868,-12.0126
