Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,MSFT,44.777,66.919,22.636,2.245,4.130,-7.121
Average,MSFT,44.777,66.919,22.636,2.245,4.130,-7.121
2022-10-06_2023-04-10,TSLA,15.007,21.361,41.402,0.601,0.858,-24.446
Average,TSLA,15.007,21.361,41.402,0.601,0.858,-24.446
2022-10-06_2023-04-10,NFLX,23.783,34.370,25.749,1.159,1.910,-15.043
Average,NFLX,23.783,34.370,25.749,1.159,1.910,-15.043
2022-10-06_2023-04-10,AMZN,-4.752,-6.519,26.899,-0.225,-0.275,-20.046
Average,AMZN,-4.752,-6.519,26.899,-0.225,-0.275,-20.046
Average,All,19.704,29.033,29.172,0.945,1.656,-16.664
