Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
Average,WFC,29.208,9.276,8.454,0.741,1.114,-6.058
2022-01-01_2024-01-01,LUMN,-72.753,-36.361,34.943,-1.203,-1.649,-83.175
Average,LUMN,-72.753,-36.361,34.943,-1.203,-1.649,-83.175
2008-01-01_2010-01-01,HOG,200.062,46.205,44.665,1.002,1.564,-36.784
Average,HOG,200.062,46.205,44.665,1.002,1.564,-36.784
2013-01-01_2015-01-01,ICE,42.472,13.035,9.921,0.986,1.461,-9.883
Average,ICE,42.472,13.035,9.921,0.986,1.461,-9.883
2018-01-01_2020-01-01,LMT,18.706,6.116,10.286,0.341,0.440,-11.292
Average,LMT,18.706,6.116,10.286,0.341,0.440,-11.292
2012-01-01_2014-01-01,BBBY,13.524,4.489,11.698,0.182,0.220,-12.043
Average,BBBY,13.524,4.489,11.698,0.182,0.220,-12.043
2008-01-01_2010-01-01,MSI,53.370,15.933,36.247,0.507,0.737,-22.851
Average,MSI,53.370,15.933,36.247,0.507,0.737,-22.851
2020-01-01_2022-01-01,ROST,-38.675,-15.552,22.947,-0.749,-0.923,-49.177
Average,ROST,-38.675,-15.552,22.947,-0.749,-0.923,-49.177
2015-01-01_2017-01-01,PCP,26.560,16.669,17.691,0.785,2.187,-8.367
Average,PCP,26.560,16.669,17.691,0.785,2.187,-8.367
2009-01-01_2011-01-01,TEG,-27.642,-10.595,19.646,-0.614,-0.658,-37.278
Average,TEG,-27.642,-10.595,19.646,-0.614,-0.658,-37.278
2015-01-01_2017-01-01,APH,5.064,1.725,10.949,-0.059,-0.081,-18.162
Average,APH,5.064,1.725,10.949,-0.059,-0.081,-18.162
2021-01-01_2023-01-01,NLSN,29.713,10.804,13.443,0.610,0.899,-15.499
Average,NLSN,29.713,10.804,13.443,0.610,0.899,-15.499
2014-01-01_2016-01-01,NFLX,43.801,13.399,22.073,0.549,0.715,-29.829
Average,NFLX,43.801,13.399,22.073,0.549,0.715,-29.829
2008-01-01_2010-01-01,CAG,1.124,0.387,14.859,-0.099,-0.128,-36.980
Average,CAG,1.124,0.387,14.859,-0.099,-0.128,-36.980
2015-01-01_2017-01-01,SCG,17.742,5.817,10.805,0.303,0.409,-14.691
Average,SCG,17.742,5.817,10.805,0.303,0.409,-14.691
2005-01-01_2007-01-01,CTX,29.441,9.384,18.840,0.413,0.600,-16.740
Average,CTX,29.441,9.384,18.840,0.413,0.600,-16.740
2010-01-01_2012-01-01,DE,23.097,7.490,18.831,0.320,0.453,-22.729
Average,DE,23.097,7.490,18.831,0.320,0.453,-22.729
