Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2016-01-01_2018-01-01,JOE,-8.0773,11.1091,-5.253,23.4902
2017-01-01_2019-01-01,JOE,-1.9715,10.3274,-0.2125,20.5653
2018-01-01_2020-01-01,JOE,8.1071,11.1679,2.3364,10.5035
2019-01-01_2021-01-01,JOE,15.6928,18.0768,3.9489,13.1978
2020-01-01_2022-01-01,JOE,17.7622,18.2678,3.9935,14.9073
2021-01-01_2023-01-01,JOE,5.9219,13.5796,1.3549,18.8417
2022-01-01_2024-01-01,JOE,2.1109,12.516,3.7196,17.8299
Average,JOE,1.4413,15.3208,-0.0414,23.8215
2004-01-01_2006-01-01,CDP,7.6324,9.7365,12.3835,11.2878
2005-01-01_2007-01-01,CDP,14.234,9.1044,7.2607,8.185
2006-01-01_2008-01-01,CDP,7.5138,11.5195,2.8623,12.6892
2007-01-01_2009-01-01,CDP,6.9537,25.9433,10.6881,28.0438
2008-01-01_2010-01-01,CDP,0.1761,30.1381,0.0925,40.309
2009-01-01_2011-01-01,CDP,-1.76,19.2406,-0.5749,31.725
2010-01-01_2012-01-01,CDP,-8.1182,13.9326,-0.8645,30.5993
2011-01-01_2013-01-01,CDP,-2.339,13.2657,-0.0269,30.6146
2012-01-01_2014-01-01,CDP,1.3069,8.3265,0.1919,19.1666
2013-01-01_2015-01-01,CDP,-6.5122,7.0764,-0.9543,20.5587
2014-01-01_2016-01-01,CDP,-8.2125,7.5419,-1.0646,26.8021
2015-01-01_2017-01-01,CDP,-6.2472,8.0977,-0.4804,24.3348
2016-01-01_2018-01-01,CDP,2.005,6.9709,0.6368,11.947
2017-01-01_2019-01-01,CDP,-2.3406,7.5022,-3.6411,16.4098
2018-01-01_2020-01-01,CDP,4.725,8.5076,0.7064,10.2242
2019-01-01_2021-01-01,CDP,10.6691,13.7434,7.6256,19.2693
2020-01-01_2022-01-01,CDP,7.0502,14.1034,1.1506,18.9862
2021-01-01_2023-01-01,CDP,2.0084,10.2212,5.4387,11.2714
2022-01-01_2024-01-01,CDP,11.7563,10.732,0.994,12.0687
Average,CDP,2.2075,13.2118,2.2307,21.4902
2004-01-01_2006-01-01,CW,1.1645,11.6347,0.6709,18.5148
2005-01-01_2007-01-01,CW,6.8361,11.3937,5.7606,9.5912
2006-01-01_2008-01-01,CW,9.0628,12.5026,1.7843,9.7965
2007-01-01_2009-01-01,CW,7.2197,19.3838,1.6374,31.2236
2008-01-01_2010-01-01,CW,-1.3723,21.3665,-0.2196,24.4058
2009-01-01_2011-01-01,CW,-2.8029,16.2995,-0.2941,21.0766
2010-01-01_2012-01-01,CW,6.0259,13.8759,2.166,14.7505
2011-01-01_2013-01-01,CW,4.9942,13.0858,1.8266,15.2628
2012-01-01_2014-01-01,CW,3.3531,10.4789,3.2011,15.24
2013-01-01_2015-01-01,CW,3.9945,9.862,1.2254,8.1197
2014-01-01_2016-01-01,CW,7.4648,9.4736,1.4463,7.4539
2015-01-01_2017-01-01,CW,4.1709,9.398,15.3722,7.3503
2016-01-01_2018-01-01,CW,4.5976,8.1096,2.0325,7.3472
2017-01-01_2019-01-01,CW,-2.3103,8.9689,-0.1995,17.4846
2018-01-01_2020-01-01,CW,-1.8698,10.2715,-0.1331,16.8442
2019-01-01_2021-01-01,CW,11.1157,13.7919,4.4808,17.5304
2020-01-01_2022-01-01,CW,13.5863,14.0773,317.708,17.5282
2021-01-01_2023-01-01,CW,12.7165,10.7297,12.2339,6.9849
2022-01-01_2024-01-01,CW,13.0114,10.2883,5.6097,6.9807
Average,CW,5.4298,13.0634,19.9232,15.5251
2004-01-01_2006-01-01,PHX,4.7109,19.1153,0.3798,27.4142
2005-01-01_2007-01-01,PHX,14.0751,13.9275,1.3468,10.1303
2006-01-01_2008-01-01,PHX,9.439,11.67,1.7397,13.0658
2007-01-01_2009-01-01,PHX,15.4612,34.0421,31.5299,35.1552
2008-01-01_2010-01-01,PHX,16.8227,39.1428,7.2344,35.1541
2009-01-01_2011-01-01,PHX,6.6014,22.6543,7.586,23.9562
2010-01-01_2012-01-01,PHX,6.6973,18.8272,4.4657,19.3735
2011-01-01_2013-01-01,PHX,-0.8373,17.8339,-0.0529,30.3098
2012-01-01_2014-01-01,PHX,-3.1823,16.0837,-0.6758,21.9402
2013-01-01_2015-01-01,PHX,-5.5778,16.5104,-1.9441,30.3499
2014-01-01_2016-01-01,PHX,1.5378,20.8843,0.2304,29.2748
2015-01-01_2017-01-01,PHX,11.6324,18.9065,1.1201,18.1756
2016-01-01_2018-01-01,PHX,2.4501,18.4954,3.3426,23.7962
2017-01-01_2019-01-01,PHX,0.3541,17.7326,0.1601,18.0797
2018-01-01_2020-01-01,PHX,-5.8201,14.1125,-4.1218,28.0989
2019-01-01_2021-01-01,PHX,3.4652,29.3221,0.3782,36.4598
2020-01-01_2022-01-01,PHX,18.9493,34.0559,10.014,36.46
2021-01-01_2023-01-01,PHX,15.0326,24.7839,4.2487,25.0177
2022-01-01_2024-01-01,PHX,4.3022,19.9115,0.5153,25.0176
Average,PHX,6.397,22.1619,4.6011,26.4608
2004-01-01_2006-01-01,CAT,9.2554,9.6443,4.4332,8.2667
