Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2015-01-01_2017-01-01,JOE,0.0002,0.0037,0.9215,0.0068
2016-01-01_2018-01-01,JOE,0.0001,0.0034,0.148,0.005
2017-01-01_2019-01-01,JOE,-0.002,0.003,-1.5155,0.0065
2018-01-01_2020-01-01,JOE,0.0006,0.0032,0.1493,0.0065
2019-01-01_2021-01-01,JOE,0.0099,0.0078,1.8527,0.007
2020-01-01_2022-01-01,JOE,0.0111,0.0122,2.4959,0.0138
2021-01-01_2023-01-01,JOE,-0.0009,0.0142,-0.1157,0.0289
2022-01-01_2024-01-01,JOE,0.003,0.0141,0.2443,0.0289
Average,JOE,8.058772928643682e-05,0.009361934268479826,-2.0498970725482417,0.02012256930053262
2004-01-01_2006-01-01,CDP,0.0025,0.0022,9.6185,0.0023
2005-01-01_2007-01-01,CDP,0.0038,0.0028,2.9052,0.0035
2006-01-01_2008-01-01,CDP,-0.0004,0.004,-0.0827,0.0111
2007-01-01_2009-01-01,CDP,-0.0026,0.0075,-0.9355,0.0154
2008-01-01_2010-01-01,CDP,0.0014,0.0088,1.1425,0.0102
2009-01-01_2011-01-01,CDP,0.0013,0.0065,0.9537,0.0048
2010-01-01_2012-01-01,CDP,-0.0023,0.0046,-0.9578,0.0118
2011-01-01_2013-01-01,CDP,-0.0015,0.0037,-0.425,0.0092
2012-01-01_2014-01-01,CDP,0.0009,0.0027,0.9102,0.0046
2013-01-01_2015-01-01,CDP,0.0012,0.0027,0.8322,0.0046
2014-01-01_2016-01-01,CDP,-0.0,0.0026,-0.0117,0.0066
2015-01-01_2017-01-01,CDP,0.0013,0.0029,0.3267,0.0066
2016-01-01_2018-01-01,CDP,0.0023,0.003,0.8194,0.0046
2017-01-01_2019-01-01,CDP,-0.0021,0.0033,-1.3165,0.0104
2018-01-01_2020-01-01,CDP,0.0007,0.0035,0.161,0.0079
2019-01-01_2021-01-01,CDP,0.002,0.0064,0.6287,0.0112
2020-01-01_2022-01-01,CDP,0.0005,0.0068,0.3463,0.0112
2021-01-01_2023-01-01,CDP,0.0008,0.0049,0.5969,0.0056
2022-01-01_2024-01-01,CDP,-0.0002,0.0052,-0.2278,0.0059
Average,CDP,0.0005022134036950104,0.004913717592492532,0.6965499196499226,0.008829418621282654
2004-01-01_2006-01-01,CW,0.0015,0.0055,0.6736,0.005
2005-01-01_2007-01-01,CW,0.0032,0.0057,1.101,0.0068
2006-01-01_2008-01-01,CW,0.0071,0.0081,6.4883,0.0068
2007-01-01_2009-01-01,CW,-0.001,0.0133,-0.1137,0.0271
2008-01-01_2010-01-01,CW,-0.0052,0.013,-1.2608,0.0282
2009-01-01_2011-01-01,CW,0.0002,0.0083,0.1715,0.0116
2010-01-01_2012-01-01,CW,0.0013,0.0078,4.2415,0.0109
2011-01-01_2013-01-01,CW,-0.0,0.0076,-0.0309,0.0109
2012-01-01_2014-01-01,CW,0.0089,0.0069,0.856,0.0109
2013-01-01_2015-01-01,CW,0.0122,0.0105,1.9036,0.0088
2014-01-01_2016-01-01,CW,0.0028,0.012,0.7296,0.0142
2015-01-01_2017-01-01,CW,0.0095,0.0136,0.8884,0.0142
2016-01-01_2018-01-01,CW,0.0185,0.0145,7.8242,0.0226
2017-01-01_2019-01-01,CW,0.0014,0.0207,0.097,0.0431
2018-01-01_2020-01-01,CW,0.0066,0.0234,0.3314,0.0431
2019-01-01_2021-01-01,CW,0.0051,0.0354,0.2431,0.071
2020-01-01_2022-01-01,CW,-0.0005,0.0373,-0.0319,0.071
2021-01-01_2023-01-01,CW,0.0196,0.0305,40.7908,0.032
2022-01-01_2024-01-01,CW,0.0295,0.033,3.064,0.032
Average,CW,0.0063758325096926445,0.016417207795069857,3.613866997168156,0.02520624628565357
2004-01-01_2006-01-01,PHX,0.0017,0.0021,2.2837,0.0027
2005-01-01_2007-01-01,PHX,0.001,0.0024,0.7502,0.0027
2006-01-01_2008-01-01,PHX,0.0008,0.0023,0.6581,0.0021
2007-01-01_2009-01-01,PHX,-0.0001,0.0056,-0.0261,0.0099
2008-01-01_2010-01-01,PHX,0.0001,0.0065,0.0313,0.0105
2009-01-01_2011-01-01,PHX,0.0014,0.0048,1.5861,0.0042
2010-01-01_2012-01-01,PHX,0.0009,0.0046,1.1453,0.0038
2011-01-01_2013-01-01,PHX,0.0001,0.0045,0.0583,0.0049
2012-01-01_2014-01-01,PHX,0.0002,0.0036,0.1289,0.0036
2013-01-01_2015-01-01,PHX,0.0025,0.0067,1.6781,0.0147
2014-01-01_2016-01-01,PHX,-0.0,0.008,-0.0022,0.0168
2015-01-01_2017-01-01,PHX,0.0002,0.0065,0.046,0.0108
2016-01-01_2018-01-01,PHX,0.0013,0.006,0.4245,0.0083
2017-01-01_2019-01-01,PHX,-0.0024,0.0055,-4.2937,0.0091
2018-01-01_2020-01-01,PHX,-0.0028,0.0041,-10.5382,0.0102
2019-01-01_2021-01-01,PHX,-0.0042,0.003,-3.3651,0.0134
2020-01-01_2022-01-01,PHX,-0.0027,0.0023,-1.0237,0.0086
2021-01-01_2023-01-01,PHX,0.0005,0.0017,0.8402,0.0019
2022-01-01_2024-01-01,PHX,0.0004,0.0015,0.4929,0.0021
Average,PHX,0.0002689677152366914,0.005158805137426972,-0.29007197726583356,0.008709962826990464
2004-01-01_2006-01-01,CAT,0.0038,0.0057,8.5276,0.0063
2005-01-01_2007-01-01,CAT,0.0032,0.0085,2.4944,0.0134
2006-01-01_2008-01-01,CAT,0.0037,0.0096,2.0376,0.0138
2007-01-01_2009-01-01,CAT,-0.0032,0.0122,-0.3652,0.0337
2008-01-01_2010-01-01,CAT,-0.0022,0.0128,-0.2456,0.0403
2009-01-01_2011-01-01,CAT,0.0125,0.0113,2.1153,0.016
2010-01-01_2012-01-01,CAT,0.0086,0.0167,0.9283,0.0315
2011-01-01_2013-01-01,CAT,-0.0002,0.0178,-0.2277,0.0315
2012-01-01_2014-01-01,CAT,0.0004,0.0124,0.3952,0.026
2013-01-01_2015-01-01,CAT,0.0007,0.011,0.7106,0.0158
2014-01-01_2016-01-01,CAT,-0.0046,0.0126,-0.6895,0.0341
2015-01-01_2017-01-01,CAT,0.0022,0.0133,0.1653,0.0239
2016-01-01_2018-01-01,CAT,0.0279,0.0148,2.2743,0.0083
2017-01-01_2019-01-01,CAT,0.0113,0.026,0.4087,0.0486
2018-01-01_2020-01-01,CAT,-0.0005,0.0298,-0.0338,0.0486
2019-01-01_2021-01-01,CAT,0.0204,0.0354,4.6917,0.0522
2020-01-01_2022-01-01,CAT,0.0213,0.0421,7.773,0.0512
2021-01-01_2023-01-01,CAT,0.0222,0.048,7.3543,0.0728
2022-01-01_2024-01-01,CAT,0.033,0.0553,3.7659,0.0672
Average,CAT,0.008475571054225901,0.021077156668908796,2.1994912454127338,0.0338888247621806
2004-01-01_2006-01-01,NG,0.0014,0.0024,2.9564,0.0028
2005-01-01_2007-01-01,NG,0.0034,0.0044,1.5833,0.0058
2006-01-01_2008-01-01,NG,-0.0004,0.0085,-0.0739,0.0149
2007-01-01_2009-01-01,NG,-0.005,0.0082,-12.5406,0.0205
2008-01-01_2010-01-01,NG,-0.0012,0.0039,-0.2724,0.0114
2009-01-01_2011-01-01,NG,0.0044,0.0035,3.5605,0.0031
2010-01-01_2012-01-01,NG,0.0007,0.0047,0.1473,0.01
2011-01-01_2013-01-01,NG,-0.0032,0.0042,-7.109,0.0111
2012-01-01_2014-01-01,NG,-0.0022,0.0022,-2.5636,0.0088
2013-01-01_2015-01-01,NG,-0.0006,0.0015,-0.6952,0.003
2014-01-01_2016-01-01,NG,0.0005,0.0017,1.3333,0.0021
2015-01-01_2017-01-01,NG,0.0006,0.0021,1.7,0.0034
2016-01-01_2018-01-01,NG,-0.0001,0.0021,-0.5,0.0039
2017-01-01_2019-01-01,NG,-0.0003,0.0016,-0.95,0.0027
2018-01-01_2020-01-01,NG,0.0017,0.0018,0.9494,0.0018
2019-01-01_2021-01-01,NG,0.002,0.004,1.3318,0.0041
2020-01-01_2022-01-01,NG,-0.0007,0.0043,-0.6243,0.0056
2021-01-01_2023-01-01,NG,-0.0016,0.0027,-1.6519,0.0063
2022-01-01_2024-01-01,NG,-0.001,0.0021,-1.9669,0.0049
Average,NG,0.00035119038200875544,0.004577986589949224,-0.6940110998021147,0.00843330058527918
2004-01-01_2006-01-01,CZFS,-0.0003,0.0015,-0.8046,0.0023
2005-01-01_2007-01-01,CZFS,0.0001,0.0025,0.0919,0.0023
2006-01-01_2008-01-01,CZFS,0.0002,0.0029,0.2762,0.002
2007-01-01_2009-01-01,CZFS,-0.0001,0.003,-0.3953,0.003
2008-01-01_2010-01-01,CZFS,0.0015,0.0038,1.1714,0.0033
2009-01-01_2011-01-01,CZFS,0.0038,0.0047,3.7471,0.002
2010-01-01_2012-01-01,CZFS,0.0022,0.0048,0.7937,0.0042
2011-01-01_2013-01-01,CZFS,0.0019,0.0047,0.7722,0.0042
2012-01-01_2014-01-01,CZFS,0.0055,0.0053,5.0817,0.0024
2013-01-01_2015-01-01,CZFS,0.004,0.0066,1.3931,0.0047
2014-01-01_2016-01-01,CZFS,0.0003,0.0061,0.191,0.0069
2015-01-01_2017-01-01,CZFS,0.0011,0.0054,0.5856,0.005
2016-01-01_2018-01-01,CZFS,0.0047,0.0061,3.033,0.0028
2017-01-01_2019-01-01,CZFS,0.0021,0.0056,0.4101,0.0068
2018-01-01_2020-01-01,CZFS,0.0009,0.0067,0.2538,0.0068
2019-01-01_2021-01-01,CZFS,0.0009,0.0106,0.3132,0.0229
2020-01-01_2022-01-01,CZFS,0.001,0.0101,0.3288,0.0229
2021-01-01_2023-01-01,CZFS,0.0083,0.0129,2.4196,0.0172
2022-01-01_2024-01-01,CZFS,0.0028,0.0187,0.3172,0.0441
Average,CZFS,0.002169481458145109,0.0066596739938146,1.0150427870371999,0.009180204480607605
