Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2021-01-01_2023-01-01,UAA,56.194,16.766,21.752,0.683,1.131,-26.110
Average,UAA,56.194,16.766,21.752,0.683,1.131,-26.110
2004-01-01_2006-01-01,PTC,37.544,11.666,17.942,0.539,0.810,-20.914
Average,PTC,37.544,11.666,17.942,0.539,0.810,-20.914
2016-01-01_2018-01-01,SJM,3.330,1.145,6.890,-0.230,-0.340,-9.100
Average,SJM,3.330,1.145,6.890,-0.230,-0.340,-9.100
2019-01-01_2021-01-01,CXO,8.102,2.730,23.793,0.112,0.146,-41.114
Average,CXO,8.102,2.730,23.793,0.112,0.146,-41.114
2012-01-01_2014-01-01,FISV,2.068,0.711,9.198,-0.199,-0.264,-14.286
2017-01-01_2019-01-01,FISV,-11.488,-4.142,8.575,-0.795,-0.924,-13.404
Average,FISV,-4.710,-1.715,8.886,-0.497,-0.594,-13.845
2014-01-01_2016-01-01,NFLX,34.740,10.873,14.826,0.570,0.906,-21.191
Average,NFLX,34.740,10.873,14.826,0.570,0.906,-21.191
2014-01-01_2016-01-01,COF,4.627,1.578,7.847,-0.138,-0.182,-10.351
2017-01-01_2019-01-01,COF,-7.462,-2.652,9.536,-0.544,-0.682,-16.478
Average,COF,-1.417,-0.537,8.691,-0.341,-0.432,-13.414
2007-01-01_2009-01-01,AVP,63.100,18.452,21.299,0.761,1.205,-15.631
Average,AVP,63.100,18.452,21.299,0.761,1.205,-15.631
2005-01-01_2007-01-01,ACS,31.393,9.955,16.703,0.469,1.279,-18.224
Average,ACS,31.393,9.955,16.703,0.469,1.279,-18.224
2011-01-01_2013-01-01,UNH,6.575,2.229,11.871,-0.004,-0.006,-20.123
Average,UNH,6.575,2.229,11.871,-0.004,-0.006,-20.123
2006-01-01_2008-01-01,NOV,60.579,17.841,16.426,0.902,1.319,-11.485
Average,NOV,60.579,17.841,16.426,0.902,1.319,-11.485
2020-01-01_2022-01-01,CFG,48.135,14.549,18.488,0.667,0.950,-23.057
Average,CFG,48.135,14.549,18.488,0.667,0.950,-23.057
2019-01-01_2021-01-01,SLB,16.348,5.373,18.999,0.214,0.311,-23.990
Average,SLB,16.348,5.373,18.999,0.214,0.311,-23.990
2010-01-01_2012-01-01,DE,4.566,1.564,13.963,-0.031,-0.044,-17.354
Average,DE,4.566,1.564,13.963,-0.031,-0.044,-17.354
2017-01-01_2019-01-01,INTC,17.680,5.805,12.376,0.279,0.386,-16.854
2020-01-01_2022-01-01,INTC,35.856,11.174,13.362,0.638,0.984,-8.637
Average,INTC,26.768,8.490,12.869,0.458,0.685,-12.745
2004-01-01_2006-01-01,NI,2.038,0.701,6.205,-0.333,-0.443,-8.809
Average,NI,2.038,0.701,6.205,-0.333,-0.443,-8.809
2018-01-01_2020-01-01,LMT,-5.298,-1.867,8.867,-0.502,-0.593,-20.200
Average,LMT,-5.298,-1.867,8.867,-0.502,-0.593,-20.200
2022-01-01_2024-01-01,LKQ,6.956,2.365,11.450,0.003,0.004,-9.575
Average,LKQ,6.956,2.365,11.450,0.003,0.004,-9.575
2008-01-01_2010-01-01,MSI,7.948,2.679,27.420,0.125,0.182,-40.113
Average,MSI,7.948,2.679,27.420,0.125,0.182,-40.113
2005-01-01_2007-01-01,CTX,-2.868,-1.006,12.517,-0.255,-0.359,-28.763
Average,CTX,-2.868,-1.006,12.517,-0.255,-0.359,-28.763
2020-01-01_2022-01-01,NWS,5.074,1.726,14.243,-0.017,-0.023,-18.017
Average,NWS,5.074,1.726,14.243,-0.017,-0.023,-18.017
2007-01-01_2009-01-01,RTN,49.216,14.860,12.767,0.916,1.664,-8.781
Average,RTN,49.216,14.860,12.767,0.916,1.664,-8.781
2022-01-01_2024-01-01,HSY,8.405,2.845,8.521,0.024,0.037,-12.555
Average,HSY,8.405,2.845,8.521,0.024,0.037,-12.555
2019-01-01_2021-01-01,TJX,15.883,5.228,13.065,0.229,0.316,-18.618
Average,TJX,15.883,5.228,13.065,0.229,0.316,-18.618
