Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
Average,NWS,25.182,11.860,7.871,1.084,0.596,-4.042
2011-01-01_2013-01-01,MCK,-1.677,-0.845,15.791,-0.165,-0.200,-24.930
Average,MCK,-1.677,-0.845,15.791,-0.165,-0.200,-24.930
2007-01-01_2009-01-01,TRV,-61.617,-38.046,31.083,-1.481,-1.489,-67.775
2021-01-01_2023-01-01,TRV,-9.583,-4.922,15.650,-0.437,-0.502,-25.349
Average,TRV,-35.600,-21.484,23.367,-0.959,-0.995,-46.562
2005-01-01_2007-01-01,ACS,-12.722,-6.590,43.413,-0.008,-0.006,-40.766
Average,ACS,-12.722,-6.590,43.413,-0.008,-0.006,-40.766
2020-01-01_2022-01-01,CFG,6.691,3.285,35.392,0.180,0.249,-35.745
Average,CFG,6.691,3.285,35.392,0.180,0.249,-35.745
2011-01-01_2013-01-01,UNH,8.699,4.276,17.120,0.155,0.189,-16.814
Average,UNH,8.699,4.276,17.120,0.155,0.189,-16.814
2015-01-01_2017-01-01,SCG,1.488,0.741,6.514,-0.314,-0.114,-8.635
Average,SCG,1.488,0.741,6.514,-0.314,-0.114,-8.635
2019-01-01_2021-01-01,TJX,23.554,11.132,23.022,0.445,0.489,-14.666
Average,TJX,23.554,11.132,23.022,0.445,0.489,-14.666
2004-01-01_2006-01-01,AAPL,124.780,49.927,46.527,1.110,0.874,-52.836
Average,AAPL,124.780,49.927,46.527,1.110,0.874,-52.836
2018-01-01_2020-01-01,HAL,10.789,5.267,21.208,0.207,0.213,-23.792
Average,HAL,10.789,5.267,21.208,0.207,0.213,-23.792
2019-01-01_2021-01-01,SLB,-7.651,-3.894,34.519,-0.030,-0.034,-40.300
Average,SLB,-7.651,-3.894,34.519,-0.030,-0.034,-40.300
2019-01-01_2021-01-01,WYNN,71.853,31.022,43.496,0.761,1.120,-24.511
Average,WYNN,71.853,31.022,43.496,0.761,1.120,-24.511
2008-01-01_2010-01-01,MSI,-27.736,-14.965,45.198,-0.202,-0.269,-54.959
Average,MSI,-27.736,-14.965,45.198,-0.202,-0.269,-54.959
2018-01-01_2020-01-01,BIIB,4.447,2.204,23.748,0.081,0.094,-19.793
Average,BIIB,4.447,2.204,23.748,0.081,0.094,-19.793
2015-01-01_2017-01-01,PCP,7.112,6.597,20.667,0.265,0.451,-14.940
Average,PCP,7.112,6.597,20.667,0.265,0.451,-14.940
2016-01-01_2018-01-01,SJM,9.199,4.507,9.881,0.191,0.177,-9.985
Average,SJM,9.199,4.507,9.881,0.191,0.177,-9.985
2012-01-01_2014-01-01,GNW,89.051,37.670,29.147,1.141,1.346,-37.021
Average,GNW,89.051,37.670,29.147,1.141,1.346,-37.021
2022-01-01_2024-01-01,LUMN,-90.698,-69.718,48.968,-2.231,-1.748,-92.943
Average,LUMN,-90.698,-69.718,48.968,-2.231,-1.748,-92.943
2004-01-01_2006-01-01,PTC,-10.223,-5.249,35.274,-0.057,-0.066,-32.606
Average,PTC,-10.223,-5.249,35.274,-0.057,-0.066,-32.606
2012-01-01_2014-01-01,FISV,-34.334,-19.033,37.739,-0.360,-0.245,-50.272
2017-01-01_2019-01-01,FISV,8.402,4.133,12.722,0.148,0.143,-14.753
Average,FISV,-12.966,-7.450,25.230,-0.106,-0.051,-32.512
2018-01-01_2020-01-01,LMT,7.215,3.552,6.848,0.107,0.052,-10.614
Average,LMT,7.215,3.552,6.848,0.107,0.052,-10.614
2006-01-01_2008-01-01,AN,-12.321,-6.387,10.717,-0.842,-0.690,-15.563
Average,AN,-12.321,-6.387,10.717,-0.842,-0.690,-15.563
2008-01-01_2010-01-01,HOG,-30.406,-16.547,62.094,-0.031,-0.040,-68.955
Average,HOG,-30.406,-16.547,62.094,-0.031,-0.040,-68.955
2016-01-01_2018-01-01,JEC,47.290,21.410,17.543,1.024,1.337,-16.717
Average,JEC,47.290,21.410,17.543,1.024,1.337,-16.717
2021-01-01_2023-01-01,UAA,30.464,14.251,34.282,0.473,0.522,-35.617
Average,UAA,30.464,14.251,34.282,0.473,0.522,-35.617
2014-01-01_2016-01-01,COF,-7.545,-3.846,14.720,-0.397,-0.441,-18.648
2017-01-01_2019-01-01,COF,-2.015,-1.017,15.132,-0.190,-0.209,-16.756
Average,COF,-4.780,-2.432,14.926,-0.294,-0.325,-17.702
2010-01-01_2012-01-01,JPM,-19.842,-10.469,23.923,-0.469,-0.519,-31.855
Average,JPM,-19.842,-10.469,23.923,-0.469,-0.519,-31.855
2010-01-01_2012-01-01,DE,12.509,6.070,21.370,0.243,0.291,-22.301
Average,DE,12.509,6.070,21.370,0.243,0.291,-22.301
2012-01-01_2014-01-01,KMB,14.656,7.107,7.219,0.574,0.503,-7.617
Average,KMB,14.656,7.107,7.219,0.574,0.503,-7.617
2020-01-01_2022-01-01,ROST,-6.224,-3.156,30.080,-0.059,-0.072,-27.175
Average,ROST,-6.224,-3.156,30.080,-0.059,-0.072,-27.175
2006-01-01_2008-01-01,ASN,0.936,0.531,1.116,-2.202,-0.860,-0.832
Average,ASN,0.936,0.531,1.116,-2.202,-0.860,-0.832
2005-01-01_2007-01-01,CTX,-24.828,-13.323,30.404,-0.418,-0.632,-47.820
Average,CTX,-24.828,-13.323,30.404,-0.418,-0.632,-47.820
2021-01-01_2023-01-01,LVS,-2.893,-1.460,43.281,0.111,0.143,-51.473
Average,LVS,-2.893,-1.460,43.281,0.111,0.143,-51.473
2015-01-01_2017-01-01,AIV,14.031,6.786,14.890,0.315,0.323,-15.258
Average,AIV,14.031,6.786,14.890,0.315,0.323,-15.258
2007-01-01_2009-01-01,RTN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RTN,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,SYK,-6.992,-3.573,14.438,-0.388,-0.409,-21.740
Average,SYK,-6.992,-3.573,14.438,-0.388,-0.409,-21.740
2019-01-01_2021-01-01,CXO,9.818,4.784,14.104,0.190,0.110,-20.542
Average,CXO,9.818,4.784,14.104,0.190,0.110,-20.542
2010-01-01_2012-01-01,LM,3.166,1.571,4.403,-0.303,-0.095,-3.993
Average,LM,3.166,1.571,4.403,-0.303,-0.095,-3.993
2009-01-01_2011-01-01,PEG,11.406,5.549,9.961,0.291,0.221,-9.652
2010-01-01_2012-01-01,PEG,4.928,2.434,8.530,-0.027,-0.020,-10.201
Average,PEG,8.167,3.992,9.245,0.132,0.100,-9.927
2020-01-01_2022-01-01,MTB,-30.973,-16.887,18.546,-1.067,-0.759,-31.660
Average,MTB,-30.973,-16.887,18.546,-1.067,-0.759,-31.660
2022-01-01_2024-01-01,EOG,18.887,9.092,26.773,0.348,0.403,-28.395
Average,EOG,18.887,9.092,26.773,0.348,0.403,-28.395
2022-01-01_2024-01-01,LKQ,-34.889,-19.412,21.753,-1.020,-0.968,-39.123
Average,LKQ,-34.889,-19.412,21.753,-1.020,-0.968,-39.123
2009-01-01_2011-01-01,TEG,129.355,51.445,20.277,2.005,2.885,-9.719
Average,TEG,129.355,51.445,20.277,2.005,2.885,-9.719
2013-01-01_2015-01-01,AMP,27.512,12.921,9.873,0.979,0.765,-10.805
Average,AMP,27.512,12.921,9.873,0.979,0.765,-10.805
2014-01-01_2016-01-01,HPQ,-40.658,-22.966,21.105,-1.272,-1.137,-44.376
Average,HPQ,-40.658,-22.966,21.105,-1.272,-1.137,-44.376
2007-01-01_2009-01-01,UTX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UTX,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,BDX,-21.219,-11.220,17.801,-0.748,-0.735,-31.427
Average,BDX,-21.219,-11.220,17.801,-0.748,-0.735,-31.427
2012-01-01_2014-01-01,BBBY,-7.075,-3.617,5.845,-1.115,-0.453,-9.803
Average,BBBY,-7.075,-3.617,5.845,-1.115,-0.453,-9.803
2021-01-01_2023-01-01,NLSN,-32.441,-19.796,29.911,-0.712,-1.116,-51.163
Average,NLSN,-32.441,-19.796,29.911,-0.712,-1.116,-51.163
2019-01-01_2021-01-01,CB,-0.552,-0.276,0.310,-10.567,-0.969,-0.552
Average,CB,-0.552,-0.276,0.310,-10.567,-0.969,-0.552
2011-01-01_2013-01-01,MO,16.593,8.011,10.770,0.492,0.546,-12.686
Average,MO,16.593,8.011,10.770,0.492,0.546,-12.686
Average,All,3.254,-0.094,21.214,-0.253,0.114,-24.243
