Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2005-01-01_2007-01-01,JOUT,-0.8556,2.6312,-1.6453,-0.6349,-3.9722
2006-01-01_2008-01-01,JOUT,0.8391,7.7985,-0.351,-0.1234,-11.5893
2007-01-01_2009-01-01,JOUT,0.0,0.0,0.0,0.0,-0.0
2008-01-01_2010-01-01,JOUT,8.6512,15.0787,0.26,0.2382,-10.9746
2009-01-01_2011-01-01,JOUT,-7.7185,17.7071,-0.5019,-0.3214,-24.2655
2010-01-01_2012-01-01,JOUT,-6.2423,14.8514,-0.5373,-0.3366,-24.0216
2011-01-01_2013-01-01,JOUT,1.0849,11.0606,-0.2073,-0.0792,-6.4695
2012-01-01_2014-01-01,JOUT,-6.1258,12.5173,-0.65,-0.4667,-18.1435
2013-01-01_2015-01-01,JOUT,-0.0668,8.661,-0.3935,-0.1826,-15.2082
2014-01-01_2016-01-01,JOUT,3.9792,13.7714,0.0194,0.0697,-14.3483
2015-01-01_2017-01-01,JOUT,1.976,23.043,0.0097,0.0375,-20.7648
2016-01-01_2018-01-01,JOUT,17.2415,21.8018,0.5166,0.3919,-21.9541
2017-01-01_2019-01-01,JOUT,4.8379,12.7819,0.0643,0.1714,-11.2471
2018-01-01_2020-01-01,JOUT,0.0,0.0,0.0,0.0,-0.0
2019-01-01_2021-01-01,JOUT,3.5062,14.3765,-0.0018,0.0478,-15.2681
2020-01-01_2022-01-01,JOUT,14.3211,13.9763,0.5701,0.5244,-9.3487
2021-01-01_2023-01-01,JOUT,0.0,0.0,0.0,0.0,-0.0
2022-01-01_2024-01-01,JOUT,0.0,0.0,0.0,0.0,-0.0
Average,JOUT,1.8499,10.102,-0.2582,-0.0666,-11.0604
2004-01-01_2006-01-01,CDP,5.7743,9.9807,0.1292,0.2698,-9.0025
2005-01-01_2007-01-01,CDP,4.1236,9.7267,-0.0012,0.1377,-9.068
2006-01-01_2008-01-01,CDP,2.5395,6.2455,-0.2357,-0.0288,-7.1542
2007-01-01_2009-01-01,CDP,-9.1455,11.0019,-0.9923,-0.314,-20.6766
2008-01-01_2010-01-01,CDP,-10.4178,14.0029,-0.8397,-0.3911,-18.8352
2009-01-01_2011-01-01,CDP,-2.6418,7.6008,-0.7356,-0.3255,-9.7211
2010-01-01_2012-01-01,CDP,0.0,0.0,0.0,0.0,-0.0
2011-01-01_2013-01-01,CDP,-1.6909,3.8034,-1.3093,-0.3775,-5.5938
2012-01-01_2014-01-01,CDP,-0.4483,6.8393,-0.5604,-0.2665,-7.4048
2013-01-01_2015-01-01,CDP,-1.0567,4.4823,-0.9899,-0.4727,-6.6213
2014-01-01_2016-01-01,CDP,-0.9408,5.0673,-0.8525,-0.4157,-6.5443
2015-01-01_2017-01-01,CDP,10.0388,8.0422,0.5403,0.7371,-5.8507
2016-01-01_2018-01-01,CDP,1.2843,6.3589,-0.388,-0.2088,-5.7748
2017-01-01_2019-01-01,CDP,-3.7341,3.0907,-2.1659,-0.5401,-6.936
2018-01-01_2020-01-01,CDP,-3.1127,5.3956,-1.1304,-0.6053,-7.1571
2019-01-01_2021-01-01,CDP,-6.0786,5.3136,-1.621,-0.7788,-12.6846
2020-01-01_2022-01-01,CDP,-12.468,6.4821,-2.1952,-1.1885,-22.9254
2021-01-01_2023-01-01,CDP,-2.8701,3.0883,-1.9348,-0.3915,-5.3301
2022-01-01_2024-01-01,CDP,-2.2417,3.9767,-1.3657,-0.4352,-6.1793
Average,CDP,-1.7414,6.3421,-0.8762,-0.2945,-9.1295
