Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2017-01-01,PCP,-11.085,-10.349,5.090,-2.758,-1.737,-12.273
Average,PCP,-11.085,-10.349,5.090,-2.758,-1.737,-12.273
2012-01-01_2014-01-01,GNW,126.809,50.848,43.612,1.100,1.379,-56.812
Average,GNW,126.809,50.848,43.612,1.100,1.379,-56.812
2011-01-01_2013-01-01,UNH,46.034,20.936,26.526,0.738,1.050,-21.226
Average,UNH,46.034,20.936,26.526,0.738,1.050,-21.226
2006-01-01_2008-01-01,ASN,39.217,20.709,21.318,0.860,1.556,-20.006
Average,ASN,39.217,20.709,21.318,0.860,1.556,-20.006
2009-01-01_2011-01-01,EKDKQ,-22.109,-11.744,83.390,0.228,0.341,-71.028
Average,EKDKQ,-22.109,-11.744,83.390,0.228,0.341,-71.028
2018-01-01_2020-01-01,NKE,59.513,26.357,25.372,0.932,1.370,-21.054
Average,NKE,59.513,26.357,25.372,0.932,1.370,-21.054
2014-01-01_2016-01-01,FFIV,9.060,4.432,27.125,0.186,0.241,-28.702
Average,FFIV,9.060,4.432,27.125,0.186,0.241,-28.702
2004-01-01_2006-01-01,NI,-3.737,-1.886,14.946,-0.252,-0.364,-17.626
Average,NI,-3.737,-1.886,14.946,-0.252,-0.364,-17.626
2015-01-01_2017-01-01,APH,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APH,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,WY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WY,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSI,-9.060,-4.628,4.541,-1.683,-0.219,-9.060
Average,MSI,-9.060,-4.628,4.541,-1.683,-0.219,-9.060
2004-01-01_2006-01-01,XOM,38.204,17.560,19.747,0.769,1.126,-16.073
Average,XOM,38.204,17.560,19.747,0.769,1.126,-16.073
2021-01-01_2023-01-01,LVS,-18.615,-9.805,49.844,-0.020,-0.033,-54.466
Average,LVS,-18.615,-9.805,49.844,-0.020,-0.033,-54.466
2019-01-01_2021-01-01,TJX,14.106,6.806,36.854,0.285,0.309,-44.298
Average,TJX,14.106,6.806,36.854,0.285,0.309,-44.298
2011-01-01_2013-01-01,MCK,36.139,16.750,22.053,0.677,1.091,-20.175
Average,MCK,36.139,16.750,22.053,0.677,1.091,-20.175
2011-01-01_2013-01-01,MO,-3.039,-1.537,5.125,-0.863,-0.392,-8.521
Average,MO,-3.039,-1.537,5.125,-0.863,-0.392,-8.521
2013-01-01_2015-01-01,HON,54.279,24.209,16.258,1.234,1.947,-12.562
Average,HON,54.279,24.209,16.258,1.234,1.947,-12.562
2020-01-01_2022-01-01,ROST,-2.177,-1.092,45.969,0.141,0.189,-51.552
Average,ROST,-2.177,-1.092,45.969,0.141,0.189,-51.552
2013-01-01_2015-01-01,WFC,56.356,25.042,14.902,1.377,2.129,-10.324
Average,WFC,56.356,25.042,14.902,1.377,2.129,-10.324
2010-01-01_2012-01-01,JPM,-22.420,-11.920,35.770,-0.260,-0.396,-40.868
Average,JPM,-22.420,-11.920,35.770,-0.260,-0.396,-40.868
2007-01-01_2009-01-01,RTN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RTN,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,AVP,-28.501,-15.443,41.115,-0.277,-0.376,-59.375
Average,AVP,-28.501,-15.443,41.115,-0.277,-0.376,-59.375
2012-01-01_2014-01-01,COG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COG,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NWS,51.827,23.167,40.661,0.644,0.895,-46.623
Average,NWS,51.827,23.167,40.661,0.644,0.895,-46.623
2022-01-01_2024-01-01,LKQ,-18.476,-9.764,28.436,-0.323,-0.417,-28.475
Average,LKQ,-18.476,-9.764,28.436,-0.323,-0.417,-28.475
2019-01-01_2021-01-01,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,CPB,-12.742,-6.588,11.145,-0.825,-0.368,-18.218
Average,CPB,-12.742,-6.588,11.145,-0.825,-0.368,-18.218
2014-01-01_2016-01-01,HPQ,-35.271,-19.546,12.048,-1.996,-1.482,-38.315
Average,HPQ,-35.271,-19.546,12.048,-1.996,-1.482,-38.315
2016-01-01_2018-01-01,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,INTC,29.428,13.825,26.796,0.506,0.726,-24.647
2020-01-01_2022-01-01,INTC,-15.362,-7.986,43.766,-0.038,-0.045,-35.568
Average,INTC,7.033,2.920,35.281,0.234,0.340,-30.107
2018-01-01_2020-01-01,HAL,-50.686,-29.825,34.154,-0.955,-1.410,-69.533
Average,HAL,-50.686,-29.825,34.154,-0.955,-1.410,-69.533
2021-01-01_2023-01-01,UAA,-41.485,-23.546,53.114,-0.293,-0.400,-75.445
Average,UAA,-41.485,-23.546,53.114,-0.293,-0.400,-75.445
2009-01-01_2011-01-01,PCAR,85.652,36.254,42.758,0.868,1.320,-34.796
2011-01-01_2013-01-01,PCAR,-21.840,-11.635,32.546,-0.310,-0.446,-43.577
Average,PCAR,31.906,12.310,37.652,0.279,0.437,-39.186
2007-01-01_2009-01-01,TRV,-10.798,-5.553,45.508,0.031,0.042,-40.991
2021-01-01_2023-01-01,TRV,2.632,1.310,2.887,-0.573,-0.136,-1.596
Average,TRV,-4.083,-2.122,24.198,-0.271,-0.047,-21.293
2017-01-01_2019-01-01,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,DUK,257.071,89.443,139.053,0.761,10.813,-12.840
Average,DUK,257.071,89.443,139.053,0.761,10.813,-12.840
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,CVS,-26.161,-14.070,41.933,-0.145,-0.121,-58.006
Average,CVS,-26.161,-14.070,41.933,-0.145,-0.121,-58.006
2012-01-01_2014-01-01,KMB,42.647,19.519,14.205,1.118,1.575,-13.034
Average,KMB,42.647,19.519,14.205,1.118,1.575,-13.034
2005-01-01_2007-01-01,ACS,132.244,52.523,56.372,0.970,0.739,-23.529
Average,ACS,132.244,52.523,56.372,0.970,0.739,-23.529
2009-01-01_2011-01-01,PRU,90.792,38.127,80.179,0.764,1.006,-67.837
Average,PRU,90.792,38.127,80.179,0.764,1.006,-67.837
2018-01-01_2020-01-01,BIIB,-11.197,-5.776,41.328,-0.005,-0.006,-43.509
Average,BIIB,-11.197,-5.776,41.328,-0.005,-0.006,-43.509
2017-01-01_2019-01-01,SYK,31.229,14.617,19.068,0.655,0.858,-19.342
Average,SYK,31.229,14.617,19.068,0.655,0.858,-19.342
2006-01-01_2008-01-01,AN,-28.853,-15.709,22.948,-0.761,-1.114,-35.265
Average,AN,-28.853,-15.709,22.948,-0.761,-1.114,-35.265
2018-01-01_2020-01-01,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,FISV,0.820,0.411,39.020,0.217,0.154,-50.063
2017-01-01_2019-01-01,FISV,-31.523,-17.312,39.374,-0.275,-0.198,-53.499
Average,FISV,-15.352,-8.451,39.197,-0.029,-0.022,-51.781
2005-01-01_2007-01-01,AW,37.305,17.214,29.456,0.585,0.955,-31.415
Average,AW,37.305,17.214,29.456,0.585,0.955,-31.415
Average,All,13.212,4.477,26.387,0.094,0.323,-28.059
