Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,WFC,11.922,4.055,5.742,0.193,0.307,-8.237
Average,WFC,11.922,4.055,5.742,0.193,0.307,-8.237
2022-01-01_2024-01-01,LUMN,-22.298,-8.554,32.067,-0.212,-0.307,-62.661
Average,LUMN,-22.298,-8.554,32.067,-0.212,-0.307,-62.661
2008-01-01_2010-01-01,HOG,11.401,3.879,32.614,0.183,0.286,-54.809
Average,HOG,11.401,3.879,32.614,0.183,0.286,-54.809
2013-01-01_2015-01-01,ICE,38.103,12.069,9.779,0.897,1.427,-9.575
Average,ICE,38.103,12.069,9.779,0.897,1.427,-9.575
2018-01-01_2020-01-01,LMT,10.677,3.645,12.188,0.106,0.145,-21.794
Average,LMT,10.677,3.645,12.188,0.106,0.145,-21.794
2012-01-01_2014-01-01,BBBY,31.360,10.106,6.279,1.073,2.167,-3.791
Average,BBBY,31.360,10.106,6.279,1.073,2.167,-3.791
2008-01-01_2010-01-01,MSI,-50.936,-22.194,40.229,-0.494,-0.707,-65.852
Average,MSI,-50.936,-22.194,40.229,-0.494,-0.707,-65.852
2020-01-01_2022-01-01,ROST,55.322,16.788,15.984,0.853,1.403,-11.808
Average,ROST,55.322,16.788,15.984,0.853,1.403,-11.808
2015-01-01_2017-01-01,PCP,-4.123,-2.819,10.822,-0.486,-0.810,-13.793
Average,PCP,-4.123,-2.819,10.822,-0.486,-0.810,-13.793
2009-01-01_2011-01-01,TEG,8.054,2.772,8.647,0.010,0.025,-12.362
Average,TEG,8.054,2.772,8.647,0.010,0.025,-12.362
2015-01-01_2017-01-01,APH,-4.448,-1.593,10.434,-0.387,-0.502,-18.639
Average,APH,-4.448,-1.593,10.434,-0.387,-0.502,-18.639
2021-01-01_2023-01-01,NLSN,-11.866,-4.965,19.202,-0.329,-0.592,-38.432
Average,NLSN,-11.866,-4.965,19.202,-0.329,-0.592,-38.432
2014-01-01_2016-01-01,NFLX,92.037,25.898,21.955,1.008,1.878,-18.477
Average,NFLX,92.037,25.898,21.955,1.008,1.878,-18.477
2008-01-01_2010-01-01,CAG,-7.920,-2.866,16.107,-0.285,-0.394,-35.396
Average,CAG,-7.920,-2.866,16.107,-0.285,-0.394,-35.396
2015-01-01_2017-01-01,SCG,31.049,10.014,9.069,0.758,1.127,-7.618
Average,SCG,31.049,10.014,9.069,0.758,1.127,-7.618
2005-01-01_2007-01-01,CTX,-10.337,-3.793,16.096,-0.344,-0.508,-27.797
Average,CTX,-10.337,-3.793,16.096,-0.344,-0.508,-27.797
2010-01-01_2012-01-01,DE,19.003,6.360,20.117,0.254,0.385,-25.396
Average,DE,19.003,6.360,20.117,0.254,0.385,-25.396
