Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2008-01-01_2009-01-01,DE,-38.748,-30.095,46.139,-0.595,-0.803,-55.069
Average,DE,-38.748,-30.095,46.139,-0.595,-0.803,-55.069
2004-01-01_2005-01-01,NOVL,5.755,4.172,22.522,0.149,0.266,-19.025
Average,NOVL,5.755,4.172,22.522,0.149,0.266,-19.025
2023-01-01_2024-01-01,RCL,-5.380,-4.005,19.043,-0.277,-0.389,-21.975
Average,RCL,-5.380,-4.005,19.043,-0.277,-0.389,-21.975
2015-01-01_2016-01-01,MNST,5.517,4.013,9.816,0.127,0.230,-12.159
Average,MNST,5.517,4.013,9.816,0.127,0.230,-12.159
2005-01-01_2006-01-01,UVN,-4.001,-2.964,25.115,-0.117,-0.166,-23.602
Average,UVN,-4.001,-2.964,25.115,-0.117,-0.166,-23.602
2023-01-01_2024-01-01,SLB,15.698,11.378,19.714,0.473,0.739,-19.574
Average,SLB,15.698,11.378,19.714,0.473,0.739,-19.574
2009-01-01_2010-01-01,PBCT,-0.439,-0.322,6.958,-0.449,-0.585,-6.273
Average,PBCT,-0.439,-0.322,6.958,-0.449,-0.585,-6.273
2014-01-01_2015-01-01,DAL,23.503,16.724,14.998,0.873,1.455,-18.034
Average,DAL,23.503,16.724,14.998,0.873,1.455,-18.034
2018-01-01_2019-01-01,ALGN,-32.856,-25.308,32.931,-0.787,-0.925,-47.212
2020-01-01_2021-01-01,ALGN,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,ALGN,46.005,32.164,26.303,1.043,1.727,-14.673
Average,ALGN,4.383,2.285,19.745,0.085,0.267,-20.628
2008-01-01_2009-01-01,RIG,-27.520,-20.950,47.591,-0.308,-0.400,-48.871
Average,RIG,-27.520,-20.950,47.591,-0.308,-0.400,-48.871
2017-01-01_2018-01-01,RF,1.980,1.459,7.555,-0.180,-0.224,-9.097
Average,RF,1.980,1.459,7.555,-0.180,-0.224,-9.097
2004-01-01_2005-01-01,CTX,15.694,11.236,17.991,0.494,0.806,-14.202
Average,CTX,15.694,11.236,17.991,0.494,0.806,-14.202
2020-01-01_2021-01-01,TIF,-4.363,-3.206,19.691,-0.221,-0.305,-16.182
Average,TIF,-4.363,-3.206,19.691,-0.221,-0.305,-16.182
2014-01-01_2015-01-01,FSLR,21.378,15.249,26.434,0.530,0.961,-26.177
2023-01-01_2024-01-01,FSLR,-8.009,-5.983,25.389,-0.235,-0.344,-29.821
Average,FSLR,6.684,4.633,25.911,0.148,0.309,-27.999
2019-01-01_2020-01-01,SBUX,-9.098,-6.749,7.332,-1.307,-1.529,-12.829
Average,SBUX,-9.098,-6.749,7.332,-1.307,-1.529,-12.829
2015-01-01_2016-01-01,VRTX,-5.070,-3.740,23.397,-0.175,-0.234,-28.688
Average,VRTX,-5.070,-3.740,23.397,-0.175,-0.234,-28.688
2019-01-01_2020-01-01,WBA,14.748,10.603,7.014,0.998,2.368,-1.892
Average,WBA,14.748,10.603,7.014,0.998,2.368,-1.892
2009-01-01_2010-01-01,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,NCR,10.714,7.718,11.373,0.422,1.056,-6.716
Average,NCR,10.714,7.718,11.373,0.422,1.056,-6.716
2014-01-01_2015-01-01,NFLX,-35.372,-27.369,25.178,-1.226,-1.383,-40.133
Average,NFLX,-35.372,-27.369,25.178,-1.226,-1.383,-40.133
2012-01-01_2013-01-01,GWW,24.650,17.517,11.256,1.177,7.179,-1.934
Average,GWW,24.650,17.517,11.256,1.177,7.179,-1.934
2022-01-01_2023-01-01,F,-11.029,-8.250,26.088,-0.312,-0.440,-30.666
Average,F,-11.029,-8.250,26.088,-0.312,-0.440,-30.666
2023-01-01_2024-01-01,GILD,8.455,6.182,8.373,0.374,0.585,-5.284
Average,GILD,8.455,6.182,8.373,0.374,0.585,-5.284
2005-01-01_2006-01-01,DALRQ,-44.076,-34.834,54.920,-0.536,-0.692,-58.710
Average,DALRQ,-44.076,-34.834,54.920,-0.536,-0.692,-58.710
2004-01-01_2005-01-01,AET,35.545,24.876,9.764,1.950,5.487,-3.400
Average,AET,35.545,24.876,9.764,1.950,5.487,-3.400
2013-01-01_2014-01-01,ANF,19.416,13.881,14.777,0.722,1.137,-15.920
Average,ANF,19.416,13.881,14.777,0.722,1.137,-15.920
2013-01-01_2014-01-01,THC,9.532,6.897,18.503,0.276,0.411,-20.274
Average,THC,9.532,6.897,18.503,0.276,0.411,-20.274
2020-01-01_2021-01-01,STT,15.115,10.829,40.856,0.368,0.567,-41.619
Average,STT,15.115,10.829,40.856,0.368,0.567,-41.619
2017-01-01_2018-01-01,LNC,14.645,10.627,11.368,0.652,0.949,-9.039
Average,LNC,14.645,10.627,11.368,0.652,0.949,-9.039
2011-01-01_2012-01-01,KMX,25.651,18.323,21.137,0.733,1.110,-17.826
Average,KMX,25.651,18.323,21.137,0.733,1.110,-17.826
2005-01-01_2006-01-01,AMD,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AMD,-10.195,-7.618,24.451,-0.321,-0.451,-31.462
Average,AMD,-5.098,-3.809,12.225,-0.161,-0.225,-15.731
2015-01-01_2016-01-01,LUV,-5.025,-3.706,15.380,-0.361,-0.452,-24.886
Average,LUV,-5.025,-3.706,15.380,-0.361,-0.452,-24.886
2022-01-01_2023-01-01,DVN,4.119,3.019,22.505,0.104,0.151,-20.940
Average,DVN,4.119,3.019,22.505,0.104,0.151,-20.940
2023-01-01_2024-01-01,APA,3.774,2.776,22.714,0.093,0.153,-27.305
Average,APA,3.774,2.776,22.714,0.093,0.153,-27.305
2010-01-01_2011-01-01,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,MEE,18.041,18.041,14.428,2.035,4.718,-6.759
Average,MEE,18.041,18.041,14.428,2.035,4.718,-6.759
2016-01-01_2017-01-01,CAM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CAM,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2006-01-01,KMG,89.576,60.208,31.204,1.520,2.847,-14.634
Average,KMG,89.576,60.208,31.204,1.520,2.847,-14.634
2018-01-01_2019-01-01,DLTR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DLTR,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,GME,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GME,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,A,-3.503,-2.601,17.168,-0.244,-0.351,-23.750
Average,A,-3.503,-2.601,17.168,-0.244,-0.351,-23.750
2021-01-01_2022-01-01,GE,8.385,6.113,19.404,0.234,0.367,-11.861
Average,GE,8.385,6.113,19.404,0.234,0.367,-11.861
2011-01-01_2012-01-01,NVDA,-21.544,-16.371,26.657,-0.638,-0.949,-41.406
2016-01-01_2017-01-01,NVDA,17.936,12.925,9.178,1.000,4.376,-2.475
2017-01-01_2018-01-01,NVDA,18.716,13.517,10.345,0.948,1.664,-6.249
2022-01-01_2023-01-01,NVDA,-5.248,-3.895,29.930,-0.085,-0.110,-37.263
Average,NVDA,2.465,1.544,19.027,0.306,1.246,-21.848
2009-01-01_2010-01-01,AYE,6.917,5.021,3.359,0.529,28.700,-0.073
2010-01-01_2011-01-01,AYE,59.461,41.034,28.206,1.211,2.317,-18.514
Average,AYE,33.189,23.028,15.782,0.870,15.509,-9.293
2016-01-01_2017-01-01,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,AABA,-14.279,-10.673,21.150,-0.560,-0.752,-38.592
Average,AABA,-14.279,-10.673,21.150,-0.560,-0.752,-38.592
2010-01-01_2011-01-01,CLF,-2.804,-2.073,29.729,-0.027,-0.032,-26.359
Average,CLF,-2.804,-2.073,29.729,-0.027,-0.032,-26.359
2018-01-01_2019-01-01,DHI,4.418,3.218,22.115,0.108,0.169,-21.150
Average,DHI,4.418,3.218,22.115,0.108,0.169,-21.150
2012-01-01_2013-01-01,FFIV,-10.653,-7.920,24.783,-0.326,-0.445,-34.070
Average,FFIV,-10.653,-7.920,24.783,-0.326,-0.445,-34.070
Average,All,3.010,1.881,21.555,0.114,0.702,-19.451
