Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2016-01-01_2018-01-01,JPM,21.9718,17.0271,1.0778,1.2976,-15.2612
2017-01-01_2019-01-01,JPM,5.5834,16.0846,0.2342,0.2754,-21.76
2018-01-01_2020-01-01,JPM,11.3121,17.0304,0.5407,0.6488,-21.767
2019-01-01_2021-01-01,JPM,11.0222,33.2139,0.391,0.4237,-43.1376
2020-01-01_2022-01-01,JPM,6.8477,33.4141,0.2759,0.3132,-42.1944
2021-01-01_2023-01-01,JPM,4.2222,21.6047,0.1621,0.2181,-38.7635
2022-01-01_2024-01-01,JPM,2.821,20.9204,0.0958,0.1166,-37.5484
Average,JPM,7.1824,26.5313,0.3663,0.4505,-31.9864
2004-01-01_2006-01-01,CDP,23.0965,18.494,1.0561,1.4348,-22.0754
2005-01-01_2007-01-01,CDP,24.4736,16.5132,1.2295,1.6113,-16.9975
2006-01-01_2008-01-01,CDP,-2.7717,20.5847,-0.1773,-0.2213,-42.8443
2007-01-01_2009-01-01,CDP,-12.9612,48.6586,-0.1009,-0.1165,-59.2439
2008-01-01_2010-01-01,CDP,10.4783,60.3581,0.4175,0.5264,-49.0576
2009-01-01_2011-01-01,CDP,12.3649,41.7937,0.4144,0.5292,-28.6323
2010-01-01_2012-01-01,CDP,-13.9478,27.3295,-0.5208,-0.6145,-51.3325
2011-01-01_2013-01-01,CDP,-7.6501,25.7346,-0.2953,-0.3371,-45.4765
2012-01-01_2014-01-01,CDP,6.7395,18.2404,0.2863,0.3668,-25.0227
2013-01-01_2015-01-01,CDP,7.0862,16.6366,0.3167,0.3957,-25.0287
2014-01-01_2016-01-01,CDP,-0.203,15.0859,-0.1341,-0.1627,-32.3781
2015-01-01_2017-01-01,CDP,6.2006,16.3134,0.269,0.3202,-32.1173
2016-01-01_2018-01-01,CDP,13.428,14.8065,0.7251,0.9399,-17.6277
2017-01-01_2019-01-01,CDP,-10.5827,15.0567,-0.8637,-0.9526,-39.6711
2018-01-01_2020-01-01,CDP,3.5508,16.5884,0.115,0.1263,-33.6025
2019-01-01_2021-01-01,CDP,9.3789,32.4298,0.3506,0.3286,-45.0504
2020-01-01_2022-01-01,CDP,1.9029,33.8178,0.1404,0.1388,-45.4681
2021-01-01_2023-01-01,CDP,3.7084,20.6229,0.136,0.1795,-21.5395
2022-01-01_2024-01-01,CDP,-1.3241,22.051,-0.0847,-0.1218,-22.5735
Average,CDP,3.8404,25.3219,0.1726,0.2301,-34.5126
2004-01-01_2006-01-01,CW,7.6077,23.2053,0.303,0.4284,-18.175
2005-01-01_2007-01-01,CW,11.9612,21.6153,0.4928,0.6752,-21.8713
2006-01-01_2008-01-01,CW,23.801,22.0939,0.9432,1.1448,-22.22
2007-01-01_2009-01-01,CW,-3.3896,36.7629,0.0091,0.0096,-54.354
2008-01-01_2010-01-01,CW,-13.8048,39.951,-0.2459,-0.3006,-57.534
2009-01-01_2011-01-01,CW,0.6571,29.0628,0.0669,0.0731,-35.4953
2010-01-01_2012-01-01,CW,4.2506,27.0673,0.1801,0.2026,-31.2798
2011-01-01_2013-01-01,CW,-0.1391,25.4958,0.0065,0.0055,-31.2855
2012-01-01_2014-01-01,CW,22.0879,19.4582,0.9711,1.1827,-28.6228
